,bus,status,offered_mwh,cut_equal_mwh,cut_priority_rule_mwh,extra_cut_mwh,station
35871-1,3581,non-priority,232.81616663945255,184.84897984118555,185.42251046716422,0.5735306259786626,3581 LETTERKENNY
16379-2,1631,non-priority,22.606203681503676,14.294610883189254,14.606476449276865,0.3118655660876115,1631 CORDERRY
35875-1,3581,non-priority,1369.5068625850151,1082.2639591815223,1082.3292673928888,0.06530821136652776,3581 LETTERKENNY
17077-8,1341,non-priority,1.3554684877393652,0.8743215244996255,0.8858387797712186,0.011517255271593085,1341 BINBANE
35876-3,3581,non-priority,1084.649435167332,850.3007660609414,850.3007660609421,6.821210263296962e-13,3581 LETTERKENNY
68312-1,4371,non-priority,809.322309862519,0.0,0.0,0.0,4371 GLENREE
49871-1,4981,priority,246.50592982076435,0.0,0.0,0.0,4981 SLIGO
68101-1,4981,priority,362.50872032465344,0.0,0.0,0.0,4981 SLIGO
68254-1,4371,non-priority,171.576329690854,0.0,0.0,0.0,4371 GLENREE
68087-1,4981,priority,462.1986184139331,0.0,0.0,0.0,4981 SLIGO
35877-6,3581,non-priority,455.58928295328167,356.4407441288853,356.4407441288853,0.0,3581 LETTERKENNY
35971-1,3591,non-priority,2242.7645020940427,1758.7540305647633,1758.754030564752,-1.1368683772161603e-11,3591 LENALEA
49979-3,4991,priority,14.531707854304777,9.249290279860968,1.363037496729099,-7.886252783131869,4991 SORNE HILL
49977-1,4991,priority,29.063415708609554,19.29560119558917,2.726074993458198,-16.569526202130973,4991 SORNE HILL
68284-1,5361,priority,334.22928064900987,46.40196326472483,22.254601118429605,-24.147362146295222,5361 TRILLICK
68195-1,5361,priority,193.75610472406373,38.23268349714709,12.901218039669345,-25.331465457477748,5361 TRILLICK
40471-1,4041,priority,412.09137373682995,32.36873693200221,0.0,-32.36873693200221,4041 MOY
49978-2,4991,priority,67.8146366534223,44.91982485899117,6.360841651402467,-38.5589832075887,4991 SORNE HILL
49992-1,4991,priority,101.72195498013346,64.7450319590268,9.5412624771037,-55.2037694819231,4991 SORNE HILL
49972-7,4991,priority,111.40976021633662,76.34771496618568,11.788021002687572,-64.5596939634981,4991 SORNE HILL
53672-2,5361,priority,232.50732566887643,97.83876868945973,18.74866482720438,-79.09010386225535,5361 TRILLICK
53671-1,5361,priority,242.19513090507965,110.2278939859481,20.40167860192733,-89.82621538402077,5361 TRILLICK
49975-4,4991,priority,203.44390996026692,137.16859282413682,19.845158031423352,-117.32343479271347,4991 SORNE HILL
49974-6,4991,priority,205.8658612693177,139.92343677729068,21.782212722357457,-118.14122405493322,4991 SORNE HILL
53674-4,5361,priority,483.9058715483492,168.7188416469658,37.645446411362514,-131.0733952356033,5361 TRILLICK
53673-3,5361,priority,678.146366534223,257.9471760132843,54.68360574601286,-203.26357026727146,5361 TRILLICK
49973-2,4991,priority,358.4487937395179,243.63139580045907,37.92667626951652,-205.70471953094255,4991 SORNE HILL
49976-3,4991,priority,445.6390408653465,298.7893988327051,41.79981656635903,-256.9895822663461,4991 SORNE HILL
19372-2,1931,priority,710.1851783688986,372.13843611004324,0.0,-372.13843611004324,1931 CUNGHILL
40773-3,4071,priority,1020.985183611177,695.8253822791219,33.97657213515163,-661.8488101439702,4071 MEENTYCAT
19371-1,1931,priority,1526.4161073539676,811.3289443588496,0.0,-811.3289443588496,1931 CUNGHILL
40772-2,4071,priority,1317.0708868584186,917.7253059739216,43.82977805434575,-873.8955279195759,4071 MEENTYCAT
49971-1,4991,priority,1525.829324702002,1080.7794867389673,163.11991305762285,-917.6595736813445,4991 SORNE HILL
40771-1,4071,priority,3857.8654437879477,2841.5431156749873,166.36436821338248,-2675.178747461605,4071 MEENTYCAT
