hour,success,status,nit,cut_MW,max_residual
2030-01-21 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,116.14047873424082,0.0
2030-01-21 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,108.3005364015614,0.0
2030-01-21 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,110.1810008415694,0.0
2030-01-21 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,111.4801605879082,0.0
2030-01-21 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,114.24031933117237,0.0
2030-01-21 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,154.95684229041476,7.105427357601002e-15
2030-01-21 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,180.1025512169977,1.4210854715202004e-14
2030-01-21 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,175.59341875548273,7.105427357601002e-15
2030-01-21 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,171.28543837952336,0.0
2030-01-21 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,163.74011122817907,0.0
2030-01-21 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,149.30915217122697,0.0
2030-01-21 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,56.27430281249993,0.0
2030-01-22 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,17.45302850866134,0.0
2030-01-22 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,133.12383993530295,0.0
2030-01-22 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,188.57167133469457,0.0
2030-01-22 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,5.45129388910108,0.0
2030-01-23 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,33.01731909990427,0.0
2030-01-23 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,118.54866128941862,0.0
2030-01-23 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,29.143542623239114,0.0
2030-01-23 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,15.464627468892978,0.0
2030-01-24 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,91.73895420615277,0.0
2030-01-24 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,59.80580750809697,0.0
2030-01-24 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,157.23517682304586,0.0
2030-01-24 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,81.932450003422,0.0
2030-01-24 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,169.8691564933431,0.0
2030-01-24 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,160.45876346535078,0.0
2030-01-24 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,142.1358060120814,0.0
2030-01-24 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,183.359740581073,7.105427357601002e-15
2030-01-24 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,220.90328865065567,0.0
2030-01-24 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,170.02235662245272,0.0
2030-01-24 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,110.69525996886135,0.0
2030-01-24 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,89.70797005089221,0.0
2030-01-24 13:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,47.83801223354203,0.0
