name,rating
1921-4721-1,121.0
1921-5481-1,121.0
1931-4371-1,210.0
1931-4981-1,210.0
1941-2401-1,159.0
1941-4201-1,152.0
1941-4391-1,159.0
1961-3201-1,121.0
1971-2731-1,91.0
1971-16110-1,190.0
1981-2821-1,210.0
1981-79016-1,121.0
1991-3641-1,91.0
2001-4791-1,210.0
2001-5441-1,201.0
2002-2742-1,793.0
2002-3203-1,765.0
2021-2591-1,132.0
2021-3091-1,134.0
2041-2791-1,210.0
2041-4621-1,171.0
2041-20411-1,476.0
2042-2052-1,999.0
2042-2072-1,730.0
2042-2072-2,730.0
2042-2562-1,513.0
2042-2972-1,555.0
2052-2563-2,513.0
2052-5462-2,513.0
2090-2111-1,220.0
2090-2781-1,185.0
2091-2171-1,190.0
2091-4951-1,220.0
2091-20900-1,140.0
2101-4061-1,121.0
2101-35211-1,121.0
2121-2361-1,121.0
2121-21261-1,123.0
2141-4791-1,210.0
2141-6931-1,210.0
2161-21661-1,123.0
2181-2841-1,121.0
2181-3521-1,121.0
2181-4691-1,123.0
2202-3342-1,468.0
2202-3842-1,436.0
2202-3852-2,436.0
2202-5202-1,351.0
2204-3944-1,1454.0
2221-2225-1,999.0
2221-3881-1,217.0
2221-3891-1,217.0
2221-22261-1,123.0
2241-22419-1,123.0
2251-2571-1,136.0
2251-3421-1,151.0
2261-3381-1,121.0
2261-22612-1,165.0
2281-22811-1,121.0
2281-22861-1,123.0
2301-23019-1,57.0
2321-3581-1,123.0
2321-4071-1,121.0
2321-28710-1,123.0
2361-23610-1,220.0
2391-5301-1,210.0
2401-5321-1,159.0
2421-3471-1,184.0
2421-3471-2,184.0
2481-24819-1,123.0
2491-17411-1,123.0
2521-2681-1,68.0
2521-4981-1,121.0
2521-5341-1,76.0
2521-66094-1,123.0
2522-3522-1,475.0
2522-5042-1,513.0
2541-2941-1,114.0
2541-5231-1,136.0
2551-2951-1,133.0
2551-3081-1,114.0
2561-3781-1,114.0
2561-4491-1,116.0
2561-25674-1,2364.0
2562-2563-1,999.0
2562-2962-1,560.0
2562-5022-1,557.0
2563-4242-1,332.0
2571-2701-1,122.0
2571-2761-1,125.0
2571-4401-1,116.0
2571-5031-1,123.0
2591-18010-1,132.0
2691-2841-1,123.0
2691-4501-1,123.0
2701-5031-1,157.0
2721-27219-1,123.0
2741-3261-1,210.0
2741-5441-1,210.0
2741-5441-2,210.0
2741-5451-1,210.0
2742-3342-1,468.0
2742-3642-1,513.0
2742-3662-1,593.0
2761-4101-1,124.0
2771-16110-1,120.0
2781-4951-1,106.0
2791-4501-1,210.0
2801-28019-1,123.0
2821-28261-1,123.0
2841-3821-1,121.0
2841-4221-1,121.0
2841-4221-2,210.0
2841-4221-3,121.0
2841-28411-1,223.0
2842-3522-1,476.0
2842-3852-1,436.0
2852-4722-1,627.0
2861-3091-1,115.0
2861-3091-2,115.0
2861-4281-1,131.0
2861-4281-2,131.0
2861-5331-1,223.0
2870-2871-1,1867.0
2870-4091-1,136.0
2870-17010-1,209.0
2870-28712-1,999.0
2871-28019-1,217.0
2941-4651-1,114.0
2951-3081-1,133.0
3061-3881-1,217.0
3081-3871-1,134.0
3082-3122-1,634.0
3082-30820-1,802.0
3091-5331-1,223.0
3101-31019-1,91.0
3122-5122-1,593.0
3190-3461-1,159.0
3190-5261-2,121.0
3191-31911-1,1867.0
3191-52610-1,210.0
3192-3332-1,792.0
3192-3462-1,762.0
3192-3462-2,660.0
3192-31920-1,794.0
3201-3209-1,999.0
3201-3221-1,210.0
3201-14619-1,159.0
3202-3203-1,999.0
3202-3282-1,564.0
3203-4722-1,436.0
3209-3221-2,121.0
3209-3531-1,123.0
3209-6931-1,210.0
3221-3961-1,130.0
3221-3961-2,130.0
3221-4021-1,159.0
3241-3841-1,121.0
3241-4081-1,159.0
3241-32461-1,123.0
3251-5281-1,141.0
3261-3341-1,121.0
3261-32661-1,123.0
3271-3471-1,223.0
3271-3681-1,223.0
3281-3541-1,121.0
3281-4261-1,76.0
3281-5091-1,210.0
3281-32810-1,999.0
3282-4942-1,354.0
3282-34620-1,513.0
3301-43619-1,210.0
3321-4221-1,123.0
3330-3331-1,210.0
3330-28810-1,166.0
3352-3842-1,820.0
3352-5462-1,823.0
3381-4001-1,210.0
3381-23019-1,121.0
3391-28810-1,122.0
3401-5441-1,121.0
3421-4101-1,133.0
3421-4401-1,116.0
3431-3471-1,169.0
3461-3481-1,140.0
3461-4681-1,159.0
3461-5281-1,123.0
3461-5281-2,190.0
3462-3940-1,660.0
3462-3942-2,660.0
3462-5142-2,513.0
3462-34620-1,999.0
3471-3651-1,175.0
3471-3651-2,175.0
3471-3681-1,128.0
3472-3842-1,692.0
3472-30820-1,548.0
3491-3561-1,123.0
3491-4961-1,123.0
3501-4001-1,121.0
3501-4701-1,123.0
3501-35011-1,165.0
3511-4001-1,124.0
3521-4061-1,121.0
3521-4781-1,112.0
3521-35261-1,123.0
3522-5462-1,476.0
3531-3801-1,123.0
3541-3901-1,210.0
3541-4681-1,121.0
3541-32810-2,104.0
3551-4481-1,123.0
3561-35211-1,121.0
3561-35611-1,223.0
3561-35661-1,123.0
3571-4481-1,210.0
3571-22419-1,210.0
3581-3591-1,159.0
3581-5361-1,123.0
3581-28019-1,121.0
3581-35861-1,123.0
3581-35862-1,123.0
3591-5191-1,159.0
3601-39610-1,68.0
3611-39610-2,119.0
3621-5301-1,122.0
3621-36210-1,999.0
3641-36411-1,152.0
3751-4651-1,138.0
3751-5231-1,136.0
3761-5111-1,121.0
3761-20411-1,121.0
3781-5521-1,115.0
3821-35211-1,121.0
3841-5211-1,112.0
3841-27219-1,120.0
3841-27281-1,122.0
3842-4943-1,354.0
3851-4621-1,210.0
3851-4741-1,103.0
3851-13219-1,121.0
3852-5202-1,351.0
3852-30820-1,824.0
3861-4651-1,107.0
3861-4651-2,115.0
3881-16011-1,220.0
3901-3981-1,45.0
3901-3991-2,45.0
3934-3944-1,1454.0
3934-4384-1,1454.0
3940-3942-1,999.0
3941-52219-1,210.0
3942-4522-1,610.0
3944-3954-1,500.0
3961-5181-1,219.0
3961-5181-2,219.0
3961-39610-1,999.0
4001-40061-1,999.0
4041-4371-1,123.0
4041-5241-1,217.0
4041-5251-2,123.0
4041-40461-1,123.0
4041-40462-1,999.0
4111-17411-1,116.0
4201-4481-1,123.0
4201-13219-1,159.0
4211-4651-1,136.0
4242-4462-1,332.0
4361-43619-1,123.0
4382-5172-1,513.0
4384-5464-1,997.0
4391-4481-1,159.0
4441-50619-1,68.0
4461-4651-3,254.0
4462-4472-1,450.0
4462-5022-1,574.0
4462-44661-1,1356.0
4471-4651-4,258.0
4472-17431-1,267.0
4472-30820-1,267.0
4472-30820-2,351.0
4472-44662-1,1835.0
4501-4691-1,123.0
4522-5142-1,467.0
4651-6371-1,141.0
4701-4711-1,999.0
4711-35011-2,123.0
4721-5181-1,220.0
4741-23019-1,121.0
4761-47210-1,92.0
4781-4961-1,112.0
4941-22419-1,210.0
4941-31019-1,210.0
4941-50019-1,111.0
4942-4943-1,999.0
4961-49662-1,655.0
4981-5041-1,121.0
4981-5041-2,121.0
4981-49861-1,123.0
4991-5361-1,123.0
5001-50019-1,123.0
5041-17010-2,210.0
5061-50619-1,45.0
5091-10210-1,210.0
5111-20411-1,238.0
5122-5222-1,1867.0
5140-5142-1,999.0
5141-51410-1,999.0
5142-34620-1,731.0
5181-47210-2,210.0
5211-22613-1,157.0
5221-52219-1,123.0
5261-52661-1,123.0
5271-5274-1,999.0
5271-32810-1,210.0
5274-5381-1,210.0
5281-43619-1,191.0
5281-52861-1,123.0
5301-31019-1,210.0
5301-53061-1,123.0
5321-22614-1,121.0
5451-5501-1,210.0
5462-54622-1,593.0
5464-54640-1,685.0
5501-55061-1,123.0
6201-12111-1,221.0
6931-68090-1,124.0
13810-47210-2,121.0
14010-14013-1,221.0
14010-14016-1,210.0
17411-24819-1,123.0
22610-22614-1,999.0
22612-22613-1,165.0
22613-22614-1,165.0
28710-28712-1,306.0
28710-51911-1,183.0
35011-66094-1,123.0
35231-90020-1,881.0
35232-90020-2,881.0
47210-47261-1,123.0
70010-79010-1,124.0
70311-81510-1,103.0
70312-81510-2,103.0
70510-72010-1,103.0
70510-72010-2,103.0
70510-78511-1,166.0
70510-78512-2,166.0
70520-81020-2,881.0
70520-81520-1,881.0
70520-85020-1,881.0
70520-86220-1,881.0
71011-81510-1,124.0
71012-81510-2,124.0
71511-90012-1,103.0
71512-90012-2,103.0
72010-81510-1,124.0
72010-81510-2,124.0
72010-83011-1,113.0
72010-83012-2,113.0
72511-74512-1,103.0
72512-74512-2,103.0
73011-76511-1,82.0
73012-76512-2,82.0
73500-73510-1,144.0
73510-87900-1,200.0
74011-78511-1,86.0
74012-78512-2,86.0
74511-74512-1,916.0
74511-74512-2,916.0
74511-76011-1,145.0
74511-76012-2,145.0
74511-82511-1,73.0
74511-82512-2,73.0
74512-86311-1,124.0
74512-86312-2,124.0
74512-88011-1,103.0
74512-88012-2,103.0
74512-88511-1,152.0
74512-88512-2,152.0
74520-81020-1,881.0
74520-81020-2,881.0
74520-82020-1,881.0
74520-90020-1,881.0
74711-76011-1,144.0
74712-76012-2,144.0
75010-75510-1,103.0
75010-83510-1,103.0
75010-84511-1,103.0
75010-84512-2,103.0
75010-87900-1,193.0
75510-75511-1,240.0
75510-75514-1,1630.0
75510-75611-1,200.0
75510-81810-1,166.0
75510-83510-1,103.0
75510-84411-1,103.0
75510-84412-2,103.0
75510-89311-1,103.0
75510-89312-2,103.0
75510-89510-1,166.0
75520-75521-1,837.0
75520-75522-1,837.0
75521-85020-1,837.0
75522-85020-2,837.0
75610-75611-1,200.0
75810-81510-1,103.0
75810-90310-1,124.0
76511-81010-1,158.0
76512-81010-2,158.0
76513-80012-1,86.0
76514-80011-2,86.0
76810-77210-1,200.0
76810-79010-1,103.0
76810-79010-2,103.0
76810-87510-1,200.0
76810-87510-2,225.0
77010-90011-1,113.0
77010-90011-2,113.0
77010-90011-3,126.0
77010-90310-1,124.0
77010-90310-2,124.0
77511-77512-1,322.0
77511-77512-2,322.0
77511-90310-1,178.0
77511-90310-2,144.0
77512-87510-1,193.0
77512-90310-3,193.0
80011-81010-1,144.0
80012-81010-2,144.0
80511-81510-1,90.0
80512-81510-2,90.0
80710-87510-1,200.0
80710-90310-1,200.0
81010-81011-1,295.0
81010-84011-1,103.0
81010-84012-2,100.0
81020-86220-1,881.0
81510-87900-1,193.0
81520-82020-1,881.0
81520-82020-2,881.0
81520-85020-1,881.0
81810-89210-1,124.0
81810-89510-1,166.0
82020-90020-1,881.0
84011-90011-1,103.0
84012-90011-2,100.0
85020-90320-1,881.0
85020-90320-2,881.0
85510-87510-1,157.0
86511-90012-1,103.0
86512-90012-2,103.0
87510-89510-1,124.0
87510-89510-2,103.0
87510-90210-1,193.0
90011-90012-1,652.0
90011-90511-1,113.0
90011-90512-2,113.0
90020-90320-1,881.0
90020-90320-2,881.0
90210-90310-1,193.0
T1742-17431-1,350.0
T3662-36671-1,582.0
T54640-54630-1,582.0
T79010-79015-1,125.0
T79015-79016-1,125.0
T79015-79017-1,125.0
T86220-86280-1,100.0
T86220-86280-2,100.0
T89510-89515-1,125.0
T89515-89516-1,125.0
T89515-89517-1,125.0
T1072-1041-10421-2-w1,125.0
T1072-1041-10421-2-w2,999.0
T1122-1121-11221-1-w1,63.0
T1122-1121-11221-1-w2,999.0
T1122-1121-11222-2-w1,125.0
T1122-1121-11222-2-w2,999.0
T1212-1211-12121-1-w1,250.0
T1212-1211-12121-1-w2,999.0
T1212-12111-12122-2-w1,250.0
T1212-12111-12122-2-w2,999.0
T1472-1471-14721-1-w1,250.0
T1472-1471-14721-1-w2,999.0
T1602-1601-16022-1-w1,250.0
T1602-1601-16022-1-w2,999.0
T1602-16011-16021-1-w1,250.0
T1602-16011-16021-1-w2,999.0
T1642-1641-16421-1-w1,238.0
T1642-1641-16421-1-w2,999.0
T1642-1641-16422-2-w1,250.0
T1642-1641-16422-2-w2,999.0
T1642-16411-16424-4-w1,175.0
T1642-16411-16424-4-w2,999.0
T1742-1741-17421-1-w1,250.0
T1742-1741-17421-1-w2,999.0
T1742-1741-17422-2-w1,250.0
T1742-1741-17422-2-w2,999.0
T1742-17411-17423-3-w1,250.0
T1742-17411-17423-3-w2,999.0
T1742-17411-17424-4-w1,250.0
T1742-17411-17424-4-w2,999.0
T2002-2001-20021-1-w1,250.0
T2002-2001-20021-1-w2,999.0
T2042-2041-20421-1-w1,250.0
T2042-2041-20421-1-w2,999.0
T2042-20416-20424-4-w1,250.0
T2042-20416-20424-4-w2,999.0
T2052-2041-20422-2-w1,250.0
T2052-2041-20422-2-w2,999.0
T2204-2202-22021-1-w1,500.0
T2204-2202-22021-1-w2,999.0
T2204-2202-22022-2-w1,500.0
T2204-2202-22022-2-w2,999.0
T2522-2521-25221-1-w1,125.0
T2522-2521-25221-1-w2,999.0
T2522-2521-25222-2-w1,125.0
T2522-2521-25222-2-w2,999.0
T2562-2561-25621-1-w1,250.0
T2562-2561-25621-1-w2,999.0
T2562-2571-25622-2-w1,250.0
T2562-2571-25622-2-w2,999.0
T2563-2561-25624-4-w1,250.0
T2563-2561-25624-4-w2,999.0
T2563-2571-25625-5-w1,250.0
T2563-2571-25625-5-w2,999.0
T2742-2741-27421-1-w1,125.0
T2742-2741-27421-1-w2,999.0
T2742-2741-27422-2-w1,125.0
T2742-2741-27422-2-w2,999.0
T2842-2841-28421-1-w1,250.0
T2842-2841-28421-1-w2,999.0
T3082-3081-30822-2-w1,250.0
T3082-3081-30822-2-w2,999.0
T3082-3091-30824-4-w1,250.0
T3082-3091-30824-4-w2,999.0
T3192-3191-31922-1-w1,250.0
T3192-3191-31922-1-w2,999.0
T3192-31911-31927-2-w1,250.0
T3192-31911-31927-2-w2,999.0
T3202-3201-32021-1-w1,250.0
T3202-3201-32021-1-w2,999.0
T3203-3209-32022-2-w1,250.0
T3203-3209-32022-2-w2,999.0
T3282-3281-32821-1-w1,63.0
T3282-3281-32821-1-w2,999.0
T3282-3281-32822-2-w1,63.0
T3282-3281-32822-2-w2,999.0
T3282-3281-32823-3-w1,250.0
T3282-3281-32823-3-w2,999.0
T3282-32810-32824-4-w1,125.0
T3282-32810-32824-4-w2,999.0
T3332-3331-33321-1-w1,250.0
T3332-3331-33321-1-w2,999.0
T3332-3331-33323-3-w1,250.0
T3332-3331-33323-3-w2,999.0
T3342-3341-33421-1-w1,125.0
T3342-3341-33421-1-w2,999.0
T3342-3341-33422-2-w1,125.0
T3342-3341-33422-2-w2,999.0
T3462-3461-34621-1-w1,250.0
T3462-3461-34621-1-w2,999.0
T3462-3461-34622-2-w1,250.0
T3462-3461-34622-2-w2,999.0
T3472-3471-34721-1-w1,250.0
T3472-3471-34721-1-w2,999.0
T3472-3471-34722-2-w1,250.0
T3472-3471-34722-2-w2,999.0
T3472-3471-34723-3-w1,250.0
T3472-3471-34723-3-w2,999.0
T3472-3471-34724-4-w1,250.0
T3472-3471-34724-4-w2,999.0
T3522-3521-35221-1-w1,125.0
T3522-3521-35221-1-w2,999.0
T3522-3521-35223-3-w1,125.0
T3522-3521-35223-3-w2,999.0
T3522-35211-35222-2-w1,125.0
T3522-35211-35222-2-w2,999.0
T3522-35211-35224-4-w1,250.0
T3522-35211-35224-4-w2,999.0
T3522-35231-35236-1-w1,300.0
T3522-35231-35236-1-w2,999.0
T3522-35231-35238-3-w1,300.0
T3522-35231-35238-3-w2,999.0
T3522-35232-35237-2-w1,600.0
T3522-35232-35237-2-w2,999.0
T3642-3641-36421-1-w1,250.0
T3642-3641-36421-1-w2,999.0
T3842-3851-38423-3-w1,125.0
T3842-3851-38423-3-w2,999.0
T3842-3851-38424-4-w1,250.0
T3842-3851-38424-4-w2,999.0
T3852-3841-38421-1-w1,125.0
T3852-3841-38421-1-w2,999.0
T3852-3841-38422-2-w1,238.0
T3852-3841-38422-2-w2,999.0
T3934-3942-39402-1-w1,500.0
T3934-3942-39402-1-w2,999.0
T3940-3941-39423-1-w1,250.0
T3940-3941-39423-1-w2,999.0
T3954-3942-39421-2-w1,500.0
T3954-3942-39421-2-w2,999.0
T4384-4382-43821-1-w1,500.0
T4384-4382-43821-1-w2,999.0
T4472-4461-44623-3-w1,250.0
T4472-4461-44623-3-w2,999.0
T4472-4471-44624-4-w1,250.0
T4472-4471-44624-4-w2,999.0
T4722-4721-47221-1-w1,238.0
T4722-4721-47221-1-w2,999.0
T4722-47210-47222-2-w1,250.0
T4722-47210-47222-2-w2,999.0
T4942-4941-49422-2-w1,125.0
T4942-4941-49422-2-w2,999.0
T4943-4941-49421-1-w1,125.0
T4943-4941-49421-1-w2,999.0
T5042-5041-50421-1-w1,250.0
T5042-5041-50421-1-w2,999.0
T5142-51410-51422-2-w1,238.0
T5142-51410-51422-2-w2,999.0
T5464-5462-54621-1-w1,500.0
T5464-5462-54621-1-w2,999.0
T5464-5462-54624-4-w1,500.0
T5464-5462-54624-4-w2,999.0
T5464-54622-54623-2-w1,550.0
T5464-54622-54623-2-w2,999.0
T30820-3081-30821-1-w1,250.0
T30820-3081-30821-1-w2,999.0
T30820-3091-30826-3-w1,250.0
T30820-3091-30826-3-w2,999.0
T70510-70520-70561-1-w1,240.0
T70510-70520-70561-1-w2,240.0
T70510-70520-70562-1-w1,240.0
T70510-70520-70562-1-w2,240.0
T74511-74520-74562-1-w1,240.0
T74511-74520-74562-1-w2,240.0
T74511-74520-74564-1-w1,240.0
T74511-74520-74564-1-w2,240.0
T74512-74520-74563-1-w1,240.0
T74512-74520-74563-1-w2,240.0
T75510-75520-75561-1-w1,240.0
T75510-75520-75561-1-w2,240.0
T75511-75520-75562-1-w1,240.0
T75511-75520-75562-1-w2,240.0
T81010-81020-81061-1-w1,240.0
T81010-81020-81061-1-w2,240.0
T81010-81020-81062-1-w1,240.0
T81010-81020-81062-1-w2,240.0
T81011-81020-81063-1-w1,240.0
T81011-81020-81063-1-w2,240.0
T81510-81520-81561-1-w1,240.0
T81510-81520-81561-1-w2,240.0
T81510-81520-81562-1-w1,240.0
T81510-81520-81562-1-w2,240.0
T90011-90020-90061-1-w1,240.0
T90011-90020-90061-1-w2,240.0
T90011-90020-90062-1-w1,240.0
T90011-90020-90062-1-w2,240.0
T90012-90020-90063-1-w1,240.0
T90012-90020-90063-1-w2,240.0
T90310-90320-90361-1-w1,240.0
T90310-90320-90361-1-w2,240.0
T90310-90320-90362-1-w1,240.0
T90310-90320-90362-1-w2,240.0
