hour,phi_N,phi_P,tier
2030-01-24 07:00:00,1.0,0.15067960508167744,N_then_P
2030-01-24 08:00:00,1.0,0.23316847532987595,N_then_P
2030-01-24 09:00:00,1.0,0.2968317922204733,N_then_P
2030-01-24 10:00:00,1.0,0.2010672315955162,N_then_P
2030-01-24 11:00:00,1.0,0.09759801812469959,N_then_P
2030-01-24 12:00:00,1.0,0.08678760379552841,N_then_P
2030-01-24 13:00:00,0.7598773688077927,0.0,N_only
2030-01-24 14:00:00,1.0,0.2269761562347412,N_then_P
2030-01-24 15:00:00,1.0,0.2575778868049383,N_then_P
2030-01-24 16:00:00,1.0,0.22759291715919971,N_then_P
2030-01-24 17:00:00,1.0,0.2124929316341877,N_then_P
2030-01-24 18:00:00,1.0,0.1942189335823059,N_then_P
2030-01-24 19:00:00,1.0,0.1762640867382288,N_then_P
2030-01-24 20:00:00,1.0,0.14299273677170277,N_then_P
2030-01-24 21:00:00,1.0,0.06680547446012497,N_then_P
2030-01-24 22:00:00,1.0,0.15352091379463673,N_then_P
2030-01-24 23:00:00,1.0,0.08830006793141365,N_then_P
2030-01-25 00:00:00,0.8425808176398277,0.0,N_only
2030-01-25 01:00:00,1.0,0.22122791409492493,N_then_P
2030-01-25 02:00:00,1.0,0.16699641197919846,N_then_P
2030-01-25 03:00:00,1.0,0.09828858450055122,N_then_P
2030-01-25 04:00:00,1.0,0.025034377351403236,N_then_P
2030-01-25 05:00:00,0.30634643137454987,0.0,N_only
2030-01-26 17:00:00,0.4007538706064224,0.0,N_only
2030-01-26 18:00:00,1.0,0.016514591872692108,N_then_P
2030-01-26 19:00:00,1.0,0.19179503060877323,N_then_P
2030-01-26 20:00:00,1.0,0.22007700614631176,N_then_P
2030-01-26 21:00:00,1.0,0.1946521569043398,N_then_P
2030-02-01 03:00:00,0.945803813636303,0.0,N_only
2030-02-01 04:00:00,0.16083338111639023,0.0,N_only
2030-02-01 05:00:00,1.0,0.004853535443544388,N_then_P
2030-02-01 08:00:00,0.6192956194281578,0.0,N_only
2030-02-01 09:00:00,0.5694801136851311,0.0,N_only
2030-02-01 13:00:00,0.41532980650663376,0.0,N_only
2030-02-03 22:00:00,0.8678543269634247,0.0,N_only
2030-02-03 23:00:00,1.0,0.3212752528488636,N_then_P
2030-02-04 00:00:00,1.0,0.37693134509027004,N_then_P
2030-02-04 01:00:00,1.0,0.3794975969940424,N_then_P
2030-02-04 02:00:00,1.0,0.33011591993272305,N_then_P
2030-02-04 03:00:00,1.0,0.33468392863869667,N_then_P
2030-02-04 04:00:00,1.0,0.02684605121612549,N_then_P
2030-02-04 06:00:00,0.25300443172454834,0.0,N_only
2030-02-04 10:00:00,0.3630101978778839,0.0,N_only
2030-02-04 11:00:00,0.8263822346925735,0.0,N_only
2030-02-04 12:00:00,1.0,0.0053457170724868774,N_then_P
2030-02-04 14:00:00,1.0,0.09010712429881096,N_then_P
2030-02-04 15:00:00,1.0,0.058062050491571426,N_then_P
2030-02-04 16:00:00,1.0,0.1972487810999155,N_then_P
2030-02-04 17:00:00,1.0,0.12066573835909367,N_then_P
