station,rule,cut_MWh,avail_MWh,n_farms,r_s
Glenree,band1,9201.177757596111,211565.36305600003,4,0.04349094589344768
Lenalea,band1,8689.767415907452,85450.34757,1,0.10169376325577716
Meentycat,band1,23831.516014784578,235244.0346048,3,0.10130550623662153
Moy,band1,350.2222647782993,16647.58668,1,0.02103741950772046
Mulreavy,band1,27099.819910538827,267677.476455,4,0.10124056857318234
Sligo,band1,4968.261265594995,49027.7481066,3,0.10133570187218491
Sorne Hill,band1,13693.646504456872,134982.14926,5,0.10144783276550469
Tawnaghmore,band1,1079.3276903129217,52816.255871999994,1,0.020435520702729637
Trillick,band1,8653.92726412289,85093.84878860001,3,0.10169862319451525
Ardnagappary,band2,6887.272497795136,62580.924698400006,3,0.1100538627543038
Binbane,band2,23929.25694602186,232467.07272,15,0.10293611334300222
Cathaleen's Fall,band2,17437.870263323275,159233.1576,2,0.10951155228063678
Corderry,band2,12761.478472895447,166738.26998430002,7,0.07653598945279366
Cunghill,band2,10348.38797631165,93919.32576,2,0.11018379755787173
Garvagh,band2,14380.57993968885,219480.50628,3,0.06552098946474533
Glenree,band2,5618.294705450637,211565.36305600003,4,0.02655583420790628
Lenalea,band2,9409.44968563156,85450.34757,1,0.1101159907854493
Meentycat,band2,25842.983771878196,235244.0346048,3,0.10985606421558496
Moy,band2,223.30629199102833,16647.58668,1,0.013413733550899783
Mulreavy,band2,29503.49723394221,267677.476455,4,0.11022032045681708
Sligo,band2,5393.210386552708,49027.7481066,3,0.11000322459898351
Sorne Hill,band2,14815.433603166235,134982.14926,5,0.10975846572593116
Tawnaghmore,band2,682.9297768308609,52816.255871999994,1,0.012930295144092356
Trillick,band2,9339.409109264869,85093.84878860001,3,0.10975422127710911
Ardnagappary,band3,7421.714544424276,62580.924698400006,3,0.11859387792993135
Binbane,band3,22842.59989421723,232467.07272,15,0.09826165756270565
Cathaleen's Fall,band3,18816.813239215502,159233.1576,2,0.11817145073819413
Corderry,band3,9629.02816197221,166738.26998430002,7,0.0577493586977895
Cunghill,band3,11161.434431110129,93919.32576,2,0.11884065756212822
Garvagh,band3,9433.200681930835,219480.50628,3,0.042979674331061216
Glenree,band3,2579.9675781185942,211565.36305600003,4,0.012194659564551184
Lenalea,band3,10151.953356950195,85450.34757,1,0.1188052903896479
Meentycat,band3,27907.920442058814,235244.0346048,3,0.11863391345477872
Moy,band3,90.46776,16647.58668,1,0.005434286767143596
Mulreavy,band3,31784.140233425955,267677.476455,4,0.11874043589457282
Sligo,band3,5832.086329310002,49027.7481066,3,0.1189548073191006
Sorne Hill,band3,15975.927364719986,134982.14926,5,0.11835585262424192
Tawnaghmore,band3,239.88184376130928,52816.255871999994,1,0.0045418184193643345
Trillick,band3,10075.96443081371,85093.84878860001,3,0.11841002110323612
Ardnagappary,band4,7483.136846671589,62580.924698400006,3,0.1195753639425355
Binbane,band4,17993.630897331248,232467.07272,15,0.07740292286040899
Cathaleen's Fall,band4,20335.795792485053,159233.1576,2,0.12771081161104259
Corderry,band4,7353.526258518556,166738.26998430002,7,0.04410221036364933
Cunghill,band4,12027.528350082119,93919.32576,2,0.1280623370403774
Garvagh,band4,6164.1772669975335,219480.50628,3,0.0280853063967952
Glenree,band4,1391.968175793997,211565.36305600003,4,0.006579376490023803
Lenalea,band4,10936.236092541354,85450.34757,1,0.1279835179556468
Meentycat,band4,30054.183149265966,235244.0346048,3,0.12775747193656034
Moy,band4,50.697591615848175,16647.58668,1,0.003045341801809328
Mulreavy,band4,34274.34833809442,267677.476455,4,0.12804345285979404
Sligo,band4,6294.935784619347,49027.7481066,3,0.12839536849484504
Sorne Hill,band4,17204.40968165802,134982.14926,5,0.12745692505250616
Tawnaghmore,band4,97.24326548056942,52816.255871999994,1,0.0018411616627319839
Trillick,band4,10856.52357460586,85093.84878860001,3,0.12758294200062442
