case,hours,step,overload_hours,overload_MWh,rule,D_pct,D_ratio,PoF_eff,PoF_nodal,Jain_farm,Jain_station,Gini,worst_over_mean,residual_hours,postcut_violations
WP2033s42,4380,2,718,63271.08334348244,band10,8.631507290655364,0.9168107626593424,0.0275282384997269,0.0308160454274265,0.464688468875531,0.5281873240322765,0.5535668201337246,2.1569185912821385,0,7
WP2033s42,4380,2,718,63271.08334348244,bandinf,8.400262851421049,0.89224872690405,0.0,0.0031997241579463,0.2984294421171662,0.3765121292216283,0.6991520989834943,4.213427584548309,0,8
WP2033s43,4380,2,777,73710.83213848845,rule1,10.552125083965343,1.0,0.1166306168965482,0.1215007419425837,0.9704389273929964,0.9884566818813344,0.0949869486602022,1.1411717303148583,0,0
WP2033s43,4380,2,777,73710.83213848845,rule2,9.44996933121256,0.8955512994792317,0.0,0.0043614468136034,0.3229859234151991,0.3900420554636012,0.6540927169802616,4.302500747177818,0,10
WP2033s43,4380,2,777,73710.83213848845,rule3,9.408932771357517,0.8916623615137973,-0.0043425071994154,0.0,0.3199664933003245,0.393703784261473,0.6728499486505416,4.455503028354502,0,9
WP2033s43,4380,2,777,73710.83213848845,rule1N,10.829439855923711,1.026280466707106,0.145976190648033,0.1509743048532003,0.4906029558625575,0.6993488492458829,0.4243410892539888,3.310818515624929,0,0
WP2033s43,4380,2,777,73710.83213848845,band0,10.577268887739915,1.0023828189653268,0.1192913455077538,0.1241730751801124,0.999989963132874,0.9999926359454152,0.0017455556673349,1.0040908646034128,0,0
WP2033s43,4380,2,777,73710.83213848845,band1,10.288560372195676,0.9750225940583124,0.0887400806914062,0.09348856264718,0.9705705992232924,0.9298048977185556,0.0742370321456024,1.1003954823392763,0,2
WP2033s43,4380,2,777,73710.83213848845,band2,10.1347044786513,0.960442033998598,0.07245898091723,0.0771364537222718,0.9276691569807816,0.8730769817777164,0.137917168446377,1.2012821516990575,0,3
WP2033s43,4380,2,777,73710.83213848845,band3,10.048081696184964,0.9522329972617264,0.0632925191616107,0.0679300129312364,0.8838790359247309,0.8302189138325328,0.1951551643535805,1.3001746324725376,0,4
WP2033s43,4380,2,777,73710.83213848845,band5,9.925175647534092,0.9405854809867688,0.0502865458781923,0.0548673147870832,0.7873419539595368,0.7531443109937116,0.2892076593505006,1.5062198739064294,0,4
WP2033s43,4380,2,777,73710.83213848845,band10,9.77574310539688,0.9264241115044944,0.0344735271371001,0.0389853284057893,0.5983322664118524,0.6142656268603939,0.4347044671442771,2.023019623527943,0,12
WP2033s43,4380,2,777,73710.83213848845,bandinf,9.44996933121256,0.8955512994792317,0.0,0.0043614468136034,0.3229859234151991,0.3900420554636012,0.6540927169802616,4.302500747177818,0,10
