rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
band2,13476-3,1341,Binbane,P,2542.734233166161,32577.580539,0.078051659794752,334
band2,13479-9,1341,Binbane,P,726.9105342503324,9307.880154,0.078096249868231,334
band2,15771-1,1571,Ardnagappary,P,529.1399242560949,5314.771836,0.09956023336165186,346
band2,15772-1,1571,Ardnagappary,P,801.1622352311649,8052.6846,0.09949008002016681,345
band2,16373-3,1631,Corderry,P,530.016535993831,18388.098960000003,0.028823889687932747,132
band2,16374-4,1631,Corderry,P,601.480389222176,20686.611330000003,0.0290758297541899,133
band2,16377-1,1631,Corderry,P,707.623987320207,24337.1898,0.029075829754189902,133
band2,16379-2,1631,Corderry,P,23.06217096920667,784.1983379999999,0.02940859455023057,134
band2,16382-1,1631,Corderry,P,820.39207984323,27649.751745,0.029670866031973844,135
band2,16392-1,1631,Corderry,P,963.4520556106756,32395.503756000002,0.029740301705672156,135
band2,17075-7,1341,Binbane,P,485.9654756617267,5420.4713838,0.08965372958413122,377
band2,17077-8,1341,Binbane,P,4.9087421784012815,54.7522362,0.08965372958413124,377
band2,19371-1,1931,Cunghill,P,6442.243288017924,64007.963800000005,0.10064752736311733,360
band2,19372-2,1931,Cunghill,P,2996.4314157765575,29780.547368,0.1006170698862407,357
band2,26732-1,2671,Garvagh,N,842.0793432296055,91940.4948,0.009158960315162513,68
band2,26771-1,2671,Garvagh,P,643.9430271755806,70307.4372,0.009158960315162513,68
band2,26773-1,2671,Garvagh,P,544.8748691485682,59490.9084,0.009158960315162513,68
band2,35971-1,3591,Lenalea,P,8319.761246946331,83960.75898500001,0.09909106763116203,360
band2,40471-1,4041,Moy,P,1158.6917648374294,17036.26302,0.06801325874560427,238
band2,40771-1,4071,Meentycat,P,14716.994015252521,146494.080412,0.10046135634875103,404
band2,40772-2,4071,Meentycat,P,5023.975904936275,50012.9128968,0.10045357516573937,398
band2,40773-3,4071,Meentycat,P,3894.8566391972645,38769.69992,0.10046135634875104,404
band2,40971-1,4091,Mulreavy,P,21837.152047603413,216648.82652,0.10079515499054646,384
band2,40972-2,4091,Mulreavy,P,1131.6265015864003,11228.750155,0.10077938202966458,367
band2,40973-1,4091,Mulreavy,P,958.2842605911395,9511.411896,0.10075100006910052,365
band2,43771-1,4371,Glenree,N,8097.739753167254,80449.41716000001,0.10065628862247997,398
band2,43774-2,4371,Glenree,P,9877.159503799045,98119.5570005,0.10066453422479997,397
band2,49971-1,4991,Sorne Hill,P,8818.166291708363,88920.51966,0.09916908184326689,404
band2,49973-2,4991,Sorne Hill,P,2071.486371696349,20889.264936,0.0991651155769682,401
band2,49976-3,4991,Sorne Hill,P,2575.4644407529195,25970.437487999996,0.09916908184326693,404
