generator,bus,station,carrier,p_nom,psse_bus_name,class,matched_name,matched_mec,match_status,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0
16371-1,1631,Corderry,wind,3.4,W_CARANNE_HI,U,Carrane Hill (1),3.4,matched_multi,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16372-2,1631,Corderry,wind,3.4,W_BLACK_BANK,U,Black Banks (1),3.4,matched_multi,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16373-3,1631,Corderry,wind,6.8,W_BLACK_BANK,P,Black Banks (2),6.8,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16374-4,1631,Corderry,wind,7.65,W_ALTAGOWLAN,P,Altagowlan (1),7.65,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16375-1,1631,Corderry,wind,3.96,W_MONEENATIE,U,Moneenatieve (1),3.96,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16376-6,1631,Corderry,wind,4.95,W_GEEVAGH,U,Geevagh (1),4.95,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16377-1,1631,Corderry,wind,9.0,W_TULLYNAMOY,P,Tullynamoyle (1),9.0,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16378-1,1631,Corderry,wind,1.598,W_CARANNE_HI,U,Tullynamoyle 3 (Carrane Hill merged capacity),1.598,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16379-2,1631,Corderry,wind,0.29,W_MONEENATIE,P,,,unmatched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16382-1,1631,Corderry,wind,10.225,W_TULLYNAMOY,P,Tullynamoyle 2 Wind Farm,10.225,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16385-1,1631,Corderry,wind,16.35,W_TULLYNAMOY,N,Tullynamoyle Wind Farm 5,16.35,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
16392-1,1631,Corderry,wind,11.98,W_TULLYNAMOY,P,Tullynamoyle Wind Farm 3 (Formerly Geevagh 2),11.98,matched,-0.18312239674114492,0.1790393085746012,0.17217904956836208,-0.09983200861979953
17075-7,1341,Binbane,wind,1.98,W_ANARGET,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
17077-8,1341,Binbane,wind,0.02,W_ANARGET,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
17078-1,17010,Cathaleen's Fall,wind,37.5,W_DERRYKILLE,N,Derrykillew Wind Farm,37.5,matched,-0.20962228183569906,0.1438754368357272,0.13836255383150356,-0.1252990864909146
19371-1,1931,Cunghill,wind,23.75,W_KINGSMOUNT,P,Kingsmountain (1),23.75,matched,-0.24265073256575806,0.1658508035170556,0.15949588918244315,-0.16549029882724123
19372-2,1931,Cunghill,wind,11.05,W_KINGSMOUNT,P,Kingsmountain (2),11.05,matched,-0.24265073256575806,0.1658508035170556,0.15949588918244315,-0.16549029882724123
26732-1,2671,Garvagh,wind,34.0,W_DERRYSALLA,N,Derrysallagh Wind Farm (Formerly Kilronan 2),34.0,matched,-0.18312239674112815,0.17903930857459235,0.17217904956835353,-0.0998320086197895
26771-1,2671,Garvagh,wind,26.0,W_GAR_GLEBE_,P,Garvagh - Glebe (1a),26.0,matched,-0.18312239674112815,0.17903930857459235,0.17217904956835353,-0.0998320086197895
26773-1,2671,Garvagh,wind,22.0,W_GAR_TULLIN,P,Garvagh - Tullynahaw (1c),22.0,matched,-0.18312239674112815,0.17903930857459235,0.17217904956835353,-0.0998320086197895
35971-1,3591,Lenalea,wind,30.5,W_LENALEA,P,,,unmatched,-0.20959790712023008,0.14386448371143506,0.1383520203986758,-0.12528346036779037
40471-1,4041,Moy,wind,6.0,W_LACKAN,P,Lackan (1),6.0,matched,-0.09003684084852005,0.15277018256579963,0.14691647910159616,-0.04637315912443299
40771-1,4071,Meentycat,wind,52.9,W_MEENTYCAT,P,,,unmatched,-0.20960017420063037,0.14386550245618765,0.13835300010812987,-0.12528491374588202
40772-2,4071,Meentycat,wind,18.06,W_MEENTYCAT,P,,,unmatched,-0.20960017420063037,0.14386550245618765,0.13835300010812987,-0.12528491374588202
40773-3,4071,Meentycat,wind,14.0,W_MEENTYCAT,P,Meentycat (2),14.0,matched,-0.20960017420063037,0.14386550245618765,0.13835300010812987,-0.12528491374588202
40971-1,4091,Mulreavy,wind,82.0,W_MULREAVY,P,Mulreavy (Mulreavy (1)),82.0,matched,-0.2096021557744789,0.14386639290452463,0.13835385643710896,-0.12528618409166042
40972-2,4091,Mulreavy,wind,4.25,W_CROAGHNAME,P,Mulreavy Ext (Croaghnameal (1)),4.25,matched,-0.2096021557744789,0.14386639290452463,0.13835385643710896,-0.12528618409166042
40973-1,4091,Mulreavy,wind,3.6,W_MEENADREEN,P,Mulreavy Ext (Meenadreen South (1)),3.6,matched,-0.2096021557744789,0.14386639290452463,0.13835385643710896,-0.12528618409166042
43771-1,4371,Glenree,wind,28.0,W_BUNNYCONNE,N,Bunnyconnellan (1),28.0,matched,-0.14891909663106687,0.15781701323094885,0.15176993007935038,-0.09233153033916744
43774-2,4371,Glenree,wind,34.15,W_CARROWLEAG,P,Carrowleagh (1),34.15,matched,-0.14891909663106687,0.15781701323094885,0.15176993007935038,-0.09233153033916744
49871-1,4981,Sligo,wind,4.08,W_TEMPLEHOUS,N,Templehouse Community Wind Turbine,4.08,matched,-0.3180158733296525,0.17231039135779003,0.16570796464160162,-0.22431377747706918
49971-1,4991,Sorne Hill,wind,31.5,W_SORNE_HILL,P,Sorne Hill (1),31.5,matched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49972-7,4991,Sorne Hill,wind,2.3,W_SINGLE_TUR,U,Sorne Hill Single Turbine (Enros),2.3,matched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49973-2,4991,Sorne Hill,wind,7.4,W_SORNE_HILL,P,Sorne Hill (2),7.4,matched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49974-6,4991,Sorne Hill,wind,4.25,W_THREETR,U,Three Trees (1),4.25,matched_multi,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49975-4,4991,Sorne Hill,wind,4.2,W_MEENKEER,U,Meenkeeragh (1),4.2,matched_multi,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49976-3,4991,Sorne Hill,wind,9.2,W_FLUGHLAND,P,Flughland (1),9.2,matched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49977-1,4991,Sorne Hill,wind,0.6,W_GLACKMORE_,P,,,unmatched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49978-2,4991,Sorne Hill,wind,1.4,W_GLACKMORE_,U,Glackmore Hill (2),1.4,matched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49979-3,4991,Sorne Hill,wind,0.3,W_GLACKMORE_,P,,,unmatched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
49992-1,4991,Sorne Hill,wind,2.1,W_CORVIN,U,Corvin Wind Turbine,2.1,matched,-0.20959957951470284,0.14386523522562367,0.13835274311705428,-0.12528453250510327
53671-1,5361,Trillick,wind,5.0,W_CROCKAHE,U,Crockahenny (1),5.0,matched,-0.20959957951470373,0.14386523522562455,0.13835274311705506,-0.12528453250510374
53672-2,5361,Trillick,wind,4.8,W_DRUMLOUG,U,Drumlough Hill (1),4.8,matched,-0.20959957951470373,0.14386523522562455,0.13835274311705506,-0.12528453250510374
53673-3,5361,Trillick,wind,14.0,W_BEAMHIL,P,Beam Hill (1),14.0,matched,-0.20959957951470373,0.14386523522562455,0.13835274311705506,-0.12528453250510374
53674-4,5361,Trillick,wind,9.99,W_DRUMLOUG,P,Drumlough Hill (2),9.99,matched,-0.20959957951470373,0.14386523522562455,0.13835274311705506,-0.12528453250510374
67059-1,5241,Tawnaghmore,wind,19.2,W_BS_KILLALA,P,Killala Wind Farm (Phase 1),19.2,matched,-0.09003684084851948,0.15277018256579938,0.14691647910159591,-0.04637315912443257
68087-1,4981,Sligo,wind,7.65,W_CARRICKEEN,P,Carrickeeney (1),7.65,matched,-0.3180158733296525,0.17231039135779003,0.16570796464160162,-0.22431377747706918
68101-1,4981,Sligo,wind,6.0,W_FAUGHA_PH1,P,Faughary (1),6.0,matched,-0.3180158733296525,0.17231039135779003,0.16570796464160162,-0.22431377747706918
68195-1,5361,Trillick,wind,4.0,W_COOLY_PH1,U,Cooly (1),4.0,matched,-0.20959957951470373,0.14386523522562455,0.13835274311705506,-0.12528453250510374
68223-1,1341,Binbane,wind,0.5,W_ANARGET_PH,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
68244-1,1341,Binbane,wind,1.9,W_MEENACHU_P,N,Meenachullalan (2),1.9,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
68254-1,4371,Glenree,wind,2.65,W_CARROWLE_P,N,Carrowleagh (2),2.65,matched,-0.14891909663106687,0.15781701323094885,0.15176993007935038,-0.09233153033916744
68260-1,1571,Ardnagappary,wind,17.96,W_CRONALAG_P,N,Cronalaght (2),17.96,matched,-0.2095933736194097,0.14386244651847074,0.13835006126494617,-0.12528055403471305
68268-1,1341,Binbane,wind,4.2,W_KILLYBEGS,N,Bradán Wind Farm (Killybegs Community Wind Turbine),4.2,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
68269-1,1341,Binbane,wind,20.0,W_CLOGHERA_P,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
68269-2,1341,Binbane,wind,3.6,W_CLOGHERA_P,N,Clogheravaddy Wind Farm (Phase 3),3.6,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
68284-1,5361,Trillick,wind,6.9,W_BEAMHILL_P,P,Meenaward,6.9,matched,-0.20959957951470373,0.14386523522562455,0.13835274311705506,-0.12528453250510374
68308-1,4091,Mulreavy,wind,5.4,W_MEENAD_S_P,P,Mulreavy Ext (Meenadreen South (2)),5.4,matched,-0.2096021557744789,0.14386639290452463,0.13835385643710896,-0.12528618409166042
68312-1,4371,Glenree,wind,12.5,W_BLACKLOU_P,N,Black Lough (1),12.5,matched,-0.14891909663106687,0.15781701323094885,0.15176993007935038,-0.09233153033916744
68407-1,1341,Binbane,wind,9.4,W_CORKEMOR_P,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
69197-1,17010,Cathaleen's Fall,wind,17.5,W_ACRES,P,Spaddan (1),17.5,matched,-0.20962228183569906,0.1438754368357272,0.13836255383150356,-0.1252990864909146
