bus,psse_name,station,in_CG3,in_NW,ws_p_nom,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0,ratio_to_next,step_change
4961,SHANKILL,,False,False,28.717,0.008215776108825588,0.06466248241302783,0.06218480652793075,-0.007100119523095709,,False
90511,WARN1A,,False,False,9.0,0.008012692709691759,0.0005039520619269308,0.0004846421031304213,0.005116570552590702,,False
83012,LARN1B,,False,False,15.0,0.008006552218473437,0.0004965098297567833,0.0004774850353784915,0.005113642053756853,,False
74011,CARN1A,,False,False,13.8,0.00782278143188991,0.0002737809288461124,0.0002632904499796779,0.00502599881561897,,False
84011,LISB1A,,False,False,58.849999999999994,0.00766476404108447,8.226496249739111e-05,7.911281141744636e-05,0.004950637785339548,,False
86312,NARD1B,,False,False,4.99,0.00733300187293652,-0.00031982845207617974,-0.00030757356773655244,0.004792415081674062,,False
3491,LISLEA,,False,False,48.9,0.007011040547153697,0.051810052000978137,0.04982484339688384,-0.005472836113999834,,False
4781,RATRUSSAN,,False,False,78.62,0.006923249562239751,0.0514175684869066,0.049447398695146944,-0.005454430552948,,False
3561,LISDRUM,,False,False,33.1,0.0054862349765245275,0.03554303199100845,0.03418112768481689,-0.0034132216341694072,,False
2101,DUNDALK,,False,False,16.6,0.002840563100569054,0.008314878151197462,0.007996276509040483,-2.309300020521439e-05,,False
4221,NAVAN,,False,False,4.0,0.0026491659288779383,0.014828026463003003,0.01425986015976247,-0.001327202028929714,,False
3821,MEATH HILL,,False,False,68.698,0.0026176011206775814,0.008619571452919647,0.008289294860809353,-0.0002111667170506832,,False
2691,GARBALLAGH,,False,False,95.0,0.0019351079888012858,0.01134484526847108,0.010910144210099917,-0.0011279970618764974,,False
2181,DRYBRIDGE,,False,False,5.949999999999999,0.0018079767065766576,0.010719048367729111,0.010308326003526097,-0.0010931043115570468,,False
23610,SLIEVECALLAN,,False,False,72.39,0.001799171983283306,-0.0022967475451033843,-0.0022087429434502898,0.002096622776374596,,False
2121,DRUMLINE,,False,False,12.0,0.0013140377311876145,-0.0024325124457252705,-0.002339305732928957,0.001707984056887853,,False
1491,DEENES,,False,False,85.0,0.0013105332125644444,0.009677881912484237,0.009307053980450617,-0.0012086070145066845,,False
1251,BOOLTIAGH,,False,False,124.81899999999999,0.001289006324068271,-0.004188415079119188,-0.004027927348814884,0.002007424056884197,,False
5221,TULLABRACK,,False,False,31.0,0.0009111529554836108,-0.0055894755719190364,-0.005375303329869602,0.0019413591698554094,,False
1021,ARDNACRUSHA,,False,False,8.16,0.0008047597761317547,-0.002575033965613628,-0.0024763662479229953,0.0013000039329097643,,False
3941,MONEYPOINT,,False,False,17.25,0.0007603932781344962,-0.006148484556418282,-0.005912892736450386,0.001914999947263775,,False
1271,BALTRASNA,,False,False,10.0,0.0007505081176813304,0.0085057299999588,0.008179815477045228,-0.0013386407026729132,,False
4261,NENAGH,,False,False,13.989999999999998,0.0004837621255522756,-0.0024646653339563673,-0.0023702266171781936,0.001006321189885374,,False
4681,RATHKEALE,,False,False,32.49,0.00048050271582913626,-0.004525833232889322,-0.0043524166326810165,0.0013796676852816624,,False
2791,GALLANSTOWN,,False,False,119.0,0.0004162899939767137,0.007852737501338474,0.007551843727808512,-0.0014245770420270726,,False
3481,COOLNANOONAG,,False,False,37.0,0.00038570504552101065,-0.006341943312976935,-0.006098938723223514,0.001630289348592242,,False
3461,KILPADDOGE,,False,False,18.0,0.0003857050455209343,-0.006341943312976973,-0.006098938723223549,0.0016302893485921916,,False
5261,TRIEN,,False,False,30.5,0.0003737417063608625,-0.006172317559708613,-0.0059358125292463745,0.0015874738890888362,,False
1651,CLAHANE,,False,False,85.6,0.0003678672921965248,-0.006089025436046107,-0.0058557119144544666,0.0015664500145814407,,False
3251,REAMORE,,False,False,93.15,0.00035935886653271076,-0.005968386198857534,-0.005739695217533793,0.00153599930602746,,False
5281,TRALEE,,False,False,47.56,0.00035935886653262056,-0.005968386198857298,-0.0057396952175335775,0.0015359993060273368,,False
1881,CHARLEVILLE,,False,False,70.699,0.00034718569023516055,-0.0025654038020094666,-0.002467105083825947,0.0008948381432783876,,False
2881,GLENLARA,,False,False,26.0,0.00034718569021977355,-0.0025654038019977676,-0.0024671050838148273,0.0008948381432641629,,False
4361,OUGHTRAGH,,False,False,9.0,0.0003383241754738968,-0.0056701395918080655,-0.005452876542084234,0.0014607184876246748,,False
