hour,F_FLG_SLIGO_N1,O_FLG_SLIGO_N1,F_T25221_N1,O_T25221_N1,F_T25222_N1,O_T25222_N1,F_FLG_SLIGO_N0,O_FLG_SLIGO_N0,n_rows_over
2030-07-09 06:00:00,-61.51385249595151,0.0,55.740650973624255,0.0,53.60483339311729,0.0,-35.218707285470835,0.0,0
2030-07-09 08:00:00,-75.23179631097562,0.0,70.69549948506636,0.0,67.98665615393308,0.0,-42.57796317142888,0.0,0
2030-07-09 10:00:00,-62.59717532814368,0.0,55.72572809527477,0.0,53.59048231551597,0.0,-35.850588339526475,0.0,0
2030-07-09 12:00:00,-50.7229153275092,0.0,47.19076109284009,0.0,45.3825501118222,0.0,-28.762995492264878,0.0,0
2030-07-09 14:00:00,-52.70184100702585,0.0,44.19105534902778,0.0,42.49778425751737,0.0,-30.883432474030055,0.0,0
2030-07-09 16:00:00,-52.69256120770197,0.0,42.73287449180107,0.0,41.09547659617233,0.0,-31.333235304190346,0.0,0
2030-07-09 18:00:00,-67.32114897391884,0.0,56.17250093605603,0.0,54.020136136853374,0.0,-39.97941886190671,0.0,0
2030-07-09 20:00:00,-39.78789823135718,0.0,20.063363353414864,0.0,19.294594359407238,0.0,-25.522180230541625,0.0,0
2030-07-09 22:00:00,-34.287266907796614,0.0,15.261688896112931,0.0,14.676905925638398,0.0,-22.361858552147957,0.0,0
2030-07-10 00:00:00,-37.09003626777952,0.0,22.817890813774902,0.0,21.943576439993905,0.0,-22.86715708879321,0.0,0
2030-07-10 02:00:00,-34.919757828438506,0.0,20.01946132559808,0.0,19.252374527998203,0.0,-21.45076044099811,0.0,0
2030-07-10 04:00:00,-33.77428295156151,0.0,19.34111720072179,0.0,18.600022552159256,0.0,-20.537318296704928,0.0,0
2030-07-10 06:00:00,-56.020165256214014,0.0,36.82023050802347,0.0,35.40938771620592,0.0,-33.495857499173965,0.0,0
2030-07-10 08:00:00,-4.509844108165623,0.0,-7.82836919468451,0.0,-7.528409142897182,0.0,-3.9193607475517114,0.0,0
2030-07-10 10:00:00,44.156903763731776,0.0,-39.45003969304406,0.0,-37.938430358449565,0.0,25.614490145309844,0.0,0
2030-07-10 12:00:00,-12.277057765643091,0.0,0.8363195285897191,0.0,0.8042742273439982,0.0,-8.18818229730523,0.0,0
2030-07-10 14:00:00,-6.443412710635909,0.0,-9.164627174824783,0.0,-8.813465652724066,0.0,-5.568923215351612,0.0,0
2030-07-10 16:00:00,-9.45198141171279,0.0,-9.72626541951001,0.0,-9.353583573984098,0.0,-8.32468565754885,0.0,0
2030-07-10 18:00:00,-11.93734137510958,0.0,-3.267760902464943,0.0,-3.1425499287415586,0.0,-9.279284986275291,0.0,0
2030-07-10 20:00:00,-13.430744810830692,0.0,1.6414412663678974,0.0,1.5785460713380552,0.0,-9.539080904555703,0.0,0
2030-07-10 22:00:00,-4.810130489751911,0.0,-14.766308629073368,0.0,-14.20050717146049,0.0,-5.248999572084792,0.0,0
2030-07-11 00:00:00,-8.661805240510382,0.0,-12.46839998163056,0.0,-11.990647615692756,0.0,-7.72728029175605,0.0,0
2030-07-11 02:00:00,-10.421790149443263,0.0,-13.938468216193233,0.0,-13.404387165084364,0.0,-9.238643569140278,0.0,0
2030-07-11 04:00:00,-21.28020920589119,0.0,10.297595571141144,0.0,9.903022036859994,0.0,-13.855875086774658,0.0,0
2030-07-11 06:00:00,-10.190237565693247,0.0,-5.913008532023031,0.0,-5.686439459796732,0.0,-7.958279815653309,0.0,0
2030-07-11 08:00:00,10.91493737893649,0.0,-23.413595291842825,0.0,-22.5164552769037,0.0,4.544149710958875,0.0,0
