case,rule,metric,recomputed,in_summary,verdict
WP2024s42,rule3,max_over_min,inf,inf,OK
WP2024s42,rule3,r_max,0.394937091031,0.394937091031,OK
WP2024s42,rule3,r_min,0,0,OK
WP2024s42,rule3,Jain_station,0.284438809818,0.284438809818,OK
WP2033s42,band0,D_pct,9.42864944205,9.42864944205,OK
WP2033s42,band0,D_ratio,1.00148062149,1.00148062149,OK
WP2033s42,band0,PoF_eff,0.12242314423,0.12242314423,OK
WP2033s42,band0,PoF_nodal,0.12601458868,0.12601458868,OK
WP2033s42,band0,Jain_farm,0.99997746964,0.99997746964,OK
WP2033s42,band0,Gini,0.0022265062111,0.0022265062111,OK
WP2033s42,band0,worst_over_mean,1.00630693074,1.00630693074,OK
WP2033s42,band0,max_over_min,1.0274140639,1.0274140639,OK
WP2033s42,band0,r_max,0.094881152811,0.094881152811,OK
WP2033s42,band0,r_min,0.0923494783112,0.0923494783112,OK
WP2033s42,band0,Jain_station,0.999946407656,0.999946407656,OK
WP2033s42,band1,D_pct,9.12708057632,9.12708057632,OK
WP2033s42,band1,D_ratio,0.969448952802,0.969448952802,OK
WP2033s42,band1,PoF_eff,0.0865232121609,0.0865232121609,OK
WP2033s42,band1,PoF_nodal,0.089999786731,0.089999786731,OK
WP2033s42,band1,Jain_farm,0.955395689302,0.955395689302,OK
WP2033s42,band1,Gini,0.0745748018349,0.0745748018349,OK
WP2033s42,band1,worst_over_mean,1.1153551958,1.1153551958,OK
WP2033s42,band1,max_over_min,4.98149124329,4.98149124329,OK
WP2033s42,band1,r_max,0.101799367433,0.101799367433,OK
WP2033s42,band1,r_min,0.0204355207027,0.0204355207027,OK
WP2033s42,band1,Jain_station,0.895818321032,0.895818321032,OK
WP2033s42,band10,D_pct,8.63150729066,8.63150729066,OK
WP2033s42,band10,D_ratio,0.916810762659,0.916810762659,OK
WP2033s42,band10,PoF_eff,0.0275282384997,0.0275282384997,OK
WP2033s42,band10,PoF_nodal,0.0308160454274,0.0308160454274,OK
WP2033s42,band10,Jain_farm,0.464688468876,0.464688468876,OK
WP2033s42,band10,Gini,0.553566820134,0.553566820134,OK
WP2033s42,band10,worst_over_mean,2.15691859128,2.15691859128,OK
WP2033s42,band10,max_over_min,inf,inf,OK
WP2033s42,band10,r_max,0.18617458546,0.18617458546,OK
WP2033s42,band10,r_min,0,0,OK
WP2033s42,band10,Jain_station,0.528187324032,0.528187324032,OK
WP2033s42,band2,D_pct,9.00049179763,9.00049179763,OK
WP2033s42,band2,D_ratio,0.956003102521,0.956003102521,OK
WP2033s42,band2,PoF_eff,0.0714535910161,0.0714535910161,OK
WP2033s42,band2,PoF_nodal,0.0748819469554,0.0748819469554,OK
WP2033s42,band2,Jain_farm,0.916743651986,0.916743651986,OK
WP2033s42,band2,Gini,0.13942049041,0.13942049041,OK
WP2033s42,band2,worst_over_mean,1.22462483429,1.22462483429,OK
WP2033s42,band2,max_over_min,8.52434198397,8.52434198397,OK
WP2033s42,band2,r_max,0.110222257762,0.110222257762,OK
WP2033s42,band2,r_min,0.0129302951441,0.0129302951441,OK
WP2033s42,band2,Jain_station,0.846107326338,0.846107326338,OK
WP2033s42,band3,D_pct,8.87360531829,8.87360531829,OK
WP2033s42,band3,D_ratio,0.942525631439,0.942525631439,OK
WP2033s42,band3,PoF_eff,0.0563485304256,0.0563485304256,OK
WP2033s42,band3,PoF_nodal,0.0597285543376,0.0597285543376,OK
WP2033s42,band3,Jain_farm,0.854269717604,0.854269717604,OK
WP2033s42,band3,Gini,0.211558526617,0.211558526617,OK
WP2033s42,band3,worst_over_mean,1.34306061839,1.34306061839,OK
WP2033s42,band3,max_over_min,26.2401283928,26.2401283928,OK
WP2033s42,band3,r_max,0.119177898461,0.119177898461,OK
WP2033s42,band3,r_min,0.00454181841936,0.00454181841936,OK
WP2033s42,band3,Jain_station,0.781548921473,0.781548921473,OK
WP2033s42,band5,D_pct,8.76740324591,8.76740324591,OK
WP2033s42,band5,D_ratio,0.931245191107,0.931245191107,OK
WP2033s42,band5,PoF_eff,0.043705822185,0.043705822185,OK
WP2033s42,band5,PoF_nodal,0.047045392918,0.047045392918,OK
WP2033s42,band5,Jain_farm,0.722104500494,0.722104500494,OK
WP2033s42,band5,Gini,0.342788337601,0.342788337601,OK
WP2033s42,band5,worst_over_mean,1.57409595624,1.57409595624,OK
WP2033s42,band5,max_over_min,76.3058698295,76.3058698295,OK
WP2033s42,band5,r_max,0.138007339961,0.138007339961,OK
WP2033s42,band5,r_min,0.00180860712642,0.00180860712642,OK
WP2033s42,band5,Jain_station,0.702477904385,0.702477904385,OK
WP2033s42,bandinf,D_pct,8.40026285142,8.40026285142,OK
WP2033s42,bandinf,D_ratio,0.892248726904,0.892248726904,OK
WP2033s42,bandinf,PoF_eff,0,0,OK
WP2033s42,bandinf,PoF_nodal,0.00319972415795,0.00319972415795,OK
WP2033s42,bandinf,Jain_farm,0.298429442117,0.298429442117,OK
WP2033s42,bandinf,Gini,0.699152098983,0.699152098983,OK
WP2033s42,bandinf,worst_over_mean,4.21342758455,4.21342758455,OK
WP2033s42,bandinf,max_over_min,inf,inf,OK
WP2033s42,bandinf,r_max,0.353938992156,0.353938992156,OK
WP2033s42,bandinf,r_min,0,0,OK
WP2033s42,bandinf,Jain_station,0.376512129222,0.376512129222,OK
WP2033s42,rule1,D_pct,9.4147098204,9.4147098204,OK
WP2033s42,rule1,D_ratio,1,1,OK
WP2033s42,rule1,PoF_eff,0.120763717388,0.120763717388,OK
WP2033s42,rule1,PoF_nodal,0.12434985213,0.12434985213,OK
WP2033s42,rule1,Jain_farm,0.978359842058,0.978359842058,OK
WP2033s42,rule1,Gini,0.0832112682372,0.0832112682372,OK
WP2033s42,rule1,worst_over_mean,1.13074288961,1.13074288961,OK
WP2033s42,rule1,max_over_min,1.51985355107,1.51985355107,OK
WP2033s42,rule1,r_max,0.106456161872,0.106456161872,OK
WP2033s42,rule1,r_min,0.0700436971685,0.0700436971685,OK
WP2033s42,rule1,Jain_station,0.989909275604,0.989909275604,OK
WP2033s42,rule1N,D_pct,9.66472156825,9.66472156825,OK
WP2033s42,rule1N,D_ratio,1.02655543852,1.02655543852,OK
WP2033s42,rule1N,PoF_eff,0.150526089385,0.150526089385,OK
WP2033s42,rule1N,PoF_nodal,0.154207455508,0.154207455508,OK
WP2033s42,rule1N,Jain_farm,0.489969517937,0.489969517937,OK
WP2033s42,rule1N,Gini,0.42110991149,0.42110991149,OK
WP2033s42,rule1N,worst_over_mean,3.41443683811,3.41443683811,OK
WP2033s42,rule1N,max_over_min,7.81619666237,7.81619666237,OK
WP2033s42,rule1N,r_max,0.329995813527,0.329995813527,OK
WP2033s42,rule1N,r_min,0.0422194870193,0.0422194870193,OK
WP2033s42,rule1N,Jain_station,0.695514976792,0.695514976792,OK
WP2033s42,rule2,D_pct,8.40026285142,8.40026285142,OK
WP2033s42,rule2,D_ratio,0.892248726904,0.892248726904,OK
WP2033s42,rule2,PoF_eff,0,0,OK
WP2033s42,rule2,PoF_nodal,0.00319972415795,0.00319972415795,OK
WP2033s42,rule2,Jain_farm,0.298429442117,0.298429442117,OK
WP2033s42,rule2,Gini,0.699152098983,0.699152098983,OK
WP2033s42,rule2,worst_over_mean,4.21342758455,4.21342758455,OK
WP2033s42,rule2,max_over_min,inf,inf,OK
WP2033s42,rule2,r_max,0.353938992156,0.353938992156,OK
WP2033s42,rule2,r_min,0,0,OK
WP2033s42,rule2,Jain_station,0.376512129222,0.376512129222,OK
WP2033s42,rule3,D_pct,8.37347005699,8.37347005699,OK
WP2033s42,rule3,D_ratio,0.889402883013,0.889402883013,OK
WP2033s42,rule3,PoF_eff,-0.0031895185783,-0.0031895185783,OK
WP2033s42,rule3,PoF_nodal,0,0,OK
WP2033s42,rule3,Jain_farm,0.303224785898,0.303224785898,OK
WP2033s42,rule3,Gini,0.70613801197,0.70613801197,OK
WP2033s42,rule3,worst_over_mean,4.37552555477,4.37552555477,OK
WP2033s42,rule3,max_over_min,inf,inf,OK
WP2033s42,rule3,r_max,0.366383322165,0.366383322165,OK
WP2033s42,rule3,r_min,0,0,OK
WP2033s42,rule3,Jain_station,0.381773377365,0.381773377365,OK
WP2033s43,band0,D_pct,10.5772688877,10.5772688877,OK
WP2033s43,band0,D_ratio,1.00238281897,1.00238281897,OK
WP2033s43,band0,PoF_eff,0.119291345508,0.119291345508,OK
WP2033s43,band0,PoF_nodal,0.12417307518,0.12417307518,OK
WP2033s43,band0,Jain_farm,0.999989963133,0.999989963133,OK
WP2033s43,band0,Gini,0.00174555566733,0.00174555566733,OK
WP2033s43,band0,worst_over_mean,1.0040908646,1.0040908646,OK
WP2033s43,band0,max_over_min,1.01160314784,1.01160314784,OK
WP2033s43,band0,r_max,0.106205390626,0.106205390626,OK
WP2033s43,band0,r_min,0.104987208524,0.104987208524,OK
WP2033s43,band0,Jain_station,0.999992635945,0.999992635945,OK
WP2033s43,band1,D_pct,10.2885603722,10.2885603722,OK
WP2033s43,band1,D_ratio,0.975022594058,0.975022594058,OK
WP2033s43,band1,PoF_eff,0.0887400806914,0.0887400806914,OK
WP2033s43,band1,PoF_nodal,0.0934885626472,0.0934885626472,OK
WP2033s43,band1,Jain_farm,0.970570599223,0.970570599223,OK
WP2033s43,band1,Gini,0.0742370321456,0.0742370321456,OK
WP2033s43,band1,worst_over_mean,1.10039548234,1.10039548234,OK
WP2033s43,band1,max_over_min,3.25981664627,3.25981664627,OK
WP2033s43,band1,r_max,0.113214853533,0.113214853533,OK
WP2033s43,band1,r_min,0.0347304360394,0.0347304360394,OK
WP2033s43,band1,Jain_station,0.929804897719,0.929804897719,OK
WP2033s43,band10,D_pct,9.7757431054,9.7757431054,OK
WP2033s43,band10,D_ratio,0.926424111504,0.926424111504,OK
WP2033s43,band10,PoF_eff,0.0344735271371,0.0344735271371,OK
WP2033s43,band10,PoF_nodal,0.0389853284058,0.0389853284058,OK
WP2033s43,band10,Jain_farm,0.598332266412,0.598332266412,OK
WP2033s43,band10,Gini,0.434704467144,0.434704467144,OK
WP2033s43,band10,worst_over_mean,2.02301962353,2.02301962353,OK
WP2033s43,band10,max_over_min,90.3699762522,90.3699762522,OK
WP2033s43,band10,r_max,0.197765201368,0.197765201368,OK
WP2033s43,band10,r_min,0.00218839496888,0.00218839496888,OK
WP2033s43,band10,Jain_station,0.61426562686,0.61426562686,OK
WP2033s43,band2,D_pct,10.1347044787,10.1347044787,OK
WP2033s43,band2,D_ratio,0.960442033999,0.960442033999,OK
WP2033s43,band2,PoF_eff,0.0724589809172,0.0724589809172,OK
WP2033s43,band2,PoF_nodal,0.0771364537223,0.0771364537223,OK
WP2033s43,band2,Jain_farm,0.927669156981,0.927669156981,OK
WP2033s43,band2,Gini,0.137917168446,0.137917168446,OK
WP2033s43,band2,worst_over_mean,1.2012821517,1.2012821517,OK
WP2033s43,band2,max_over_min,5.80310815632,5.80310815632,OK
WP2033s43,band2,r_max,0.121746396029,0.121746396029,OK
WP2033s43,band2,r_min,0.0209795152442,0.0209795152442,OK
WP2033s43,band2,Jain_station,0.873076981778,0.873076981778,OK
WP2033s43,band3,D_pct,10.0480816962,10.0480816962,OK
WP2033s43,band3,D_ratio,0.952232997262,0.952232997262,OK
WP2033s43,band3,PoF_eff,0.0632925191616,0.0632925191616,OK
WP2033s43,band3,PoF_nodal,0.0679300129312,0.0679300129312,OK
WP2033s43,band3,Jain_farm,0.883879035925,0.883879035925,OK
WP2033s43,band3,Gini,0.195155164354,0.195155164354,OK
WP2033s43,band3,worst_over_mean,1.30017463247,1.30017463247,OK
WP2033s43,band3,max_over_min,8.82079364456,8.82079364456,OK
WP2033s43,band3,r_max,0.130642609264,0.130642609264,OK
WP2033s43,band3,r_min,0.0148107545112,0.0148107545112,OK
WP2033s43,band3,Jain_station,0.830218913833,0.830218913833,OK
WP2033s43,band5,D_pct,9.92517564753,9.92517564753,OK
WP2033s43,band5,D_ratio,0.940585480987,0.940585480987,OK
WP2033s43,band5,PoF_eff,0.0502865458782,0.0502865458782,OK
WP2033s43,band5,PoF_nodal,0.0548673147871,0.0548673147871,OK
WP2033s43,band5,Jain_farm,0.78734195396,0.78734195396,OK
WP2033s43,band5,Gini,0.289207659351,0.289207659351,OK
WP2033s43,band5,worst_over_mean,1.50621987391,1.50621987391,OK
WP2033s43,band5,max_over_min,20.98193331,20.98193331,OK
WP2033s43,band5,r_max,0.149494968123,0.149494968123,OK
WP2033s43,band5,r_min,0.00712493772212,0.00712493772212,OK
WP2033s43,band5,Jain_station,0.753144310994,0.753144310994,OK
WP2033s43,bandinf,D_pct,9.44996933121,9.44996933121,OK
WP2033s43,bandinf,D_ratio,0.895551299479,0.895551299479,OK
WP2033s43,bandinf,PoF_eff,0,0,OK
WP2033s43,bandinf,PoF_nodal,0.0043614468136,0.0043614468136,OK
WP2033s43,bandinf,Jain_farm,0.322985923415,0.322985923415,OK
WP2033s43,bandinf,Gini,0.65409271698,0.65409271698,OK
WP2033s43,bandinf,worst_over_mean,4.30250074718,4.30250074718,OK
WP2033s43,bandinf,max_over_min,1605.21493162,1605.21493162,OK
WP2033s43,bandinf,r_max,0.406585001083,0.406585001083,OK
WP2033s43,bandinf,r_min,0.000253290069183,0.000253290069183,OK
WP2033s43,bandinf,Jain_station,0.390042055464,0.390042055464,OK
WP2033s43,rule1,D_pct,10.552125084,10.552125084,OK
WP2033s43,rule1,D_ratio,1,1,OK
WP2033s43,rule1,PoF_eff,0.116630616897,0.116630616897,OK
WP2033s43,rule1,PoF_nodal,0.121500741943,0.121500741943,OK
WP2033s43,rule1,Jain_farm,0.970438927393,0.970438927393,OK
WP2033s43,rule1,Gini,0.0949869486602,0.0949869486602,OK
WP2033s43,rule1,worst_over_mean,1.14117173031,1.14117173031,OK
WP2033s43,rule1,max_over_min,1.67345046054,1.67345046054,OK
WP2033s43,rule1,r_max,0.120417868406,0.120417868406,OK
WP2033s43,rule1,r_min,0.0719578327805,0.0719578327805,OK
