Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
A,"A, B North",ardnagappary,2030,Initial,Grandfathering,IE wind not priority,17.96,51.95322139895,24.9128951062644,6.46331316751,0.934325078669999,19.6426880465055,27.0403262926855
I,"E,F & I",barnahely,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,3.16464807620697,0.53806055616,0.0721828385199998,0.108291145953029,0.718534540633028
E,"E,F & I",kilpaddoge,2030,Initial,Grandfathering,IE wind priority,55,178.0733995113,173.32164403985,0,4.75175547144999,0,4.75175547144998
E,"E,F & I",kilpaddoge,2030,33% ECP,Grandfathering,IE wind priority,55,178.0733995113,172.73953212051,0,5.33386739079,0,5.33386739079
I,"E,F & I",barnahely,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,2.80330407821309,0.883886922639999,0.0825456624600002,0.113445953526904,1.0798785386269
E,"E,F & I",kilpaddoge,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,55,178.0733995113,171.92467195601,0,6.14872755529,0,6.14872755528999
E,"E,F & I",kilpaddoge,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,55,178.0733995113,171.24019595527,0,6.83320355603001,0,6.83320355603001
I,"E,F & I",barnahely,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,2.89666016073852,0.759994902709999,0.07342022539,0.153107328001473,0.986522456101473
E,"E,F & I",kilpaddoge,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,171.15603583617,0,6.91736367513001,0,6.91736367513001
E,"E,F & I",kilpaddoge,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,172.73953212051,0,5.33386739079,0,5.33386739079
I,"E,F & I",barnahely,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,2.96710231069731,0.6528340583,0.07342707355,0.189819174292682,0.916080306142682
E,"E,F & I",kilpaddoge,2030,100% ECP,Grandfathering,IE wind priority,55,178.0733995113,171.54378368848,0,6.52961582282,0,6.52961582281999
E,"E,F & I",kilpaddoge,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,171.54378368848,0,6.52961582282,0,6.52961582281999
I,"E,F & I",barnahely,2030,33% ECP,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,3.05889724568976,0.53806055616,0.0721828385199998,0.21404197647024,0.824285371150239
E,"E,F & I",kilpaddoge,2035,66% ECP,Grandfathering,IE wind priority,55,178.0733995113,176.55376528858,0,1.51963422272001,0,1.51963422271999
E,"E,F & I",kilpaddoge,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,176.55376528858,0,1.51963422272001,0,1.51963422271999
E,"E,F & I",kilpaddoge,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,55,178.0733995113,174.99088456305,0,3.08251494825,0,3.08251494825
E,"E,F & I",kilpaddoge,2035,100% ECP,Grandfathering,IE wind priority,55,178.0733995113,176.33315640957,0,1.74024310173001,0,1.74024310173001
H2,H2 & K,wexford,2035,100% ECP,Grandfathering,IE Solar not priority,114.03,133.5074643,97.7702915617464,30.06539166488,1.20491186737,4.46686920600354,35.7371727382535
E,"E,F & I",knockacummer,2030,Initial,Grandfathering,IE wind priority,105,339.95830815763,330.88677498523,0,9.07153317239999,0,9.07153317239997
E,"E,F & I",knockacummer,2030,33% ECP,Grandfathering,IE wind priority,105,339.95830815763,329.7754704118,0,10.18283774583,0,10.1828377458299
H2,H2 & K,wexford,2035,100% ECP,Grandfathering,IE wind priority,27,76.37558492613,75.64656685449,0,0.729018071639998,0,0.729018071639992
E,"E,F & I",knockacummer,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,105,339.95830815763,328.2198282795,0,11.7384798781299,0,11.7384798781299
E,"E,F & I",knockacummer,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,105,339.95830815763,326.91310136914,0,13.0452067884899,0,13.0452067884899
H2,H2 & K,wexford,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,114.03,133.5074643,97.8031275591005,29.95524442267,1.14909340146999,4.59999891675949,35.7043367408994
I,"E,F & I",barnahely,2030,100% ECP,Grandfathering,IE Solar not priority,9.95,11.6495595,7.49466849045276,3.69704685466,0.255708985400009,0.202135169487223,4.15489100954723
E,"E,F & I",glenlara 220kv side,2035,100% ECP,Grandfathering,IE wind priority,53,171.59800316509,169.92104163097,0,1.67696153412001,0,1.67696153412
E,"E,F & I",glenlara 220kv side,2035,100% ECP,Grandfathering,IE wind not priority,13.8,44.68023478634,22.6400468159678,7.89533364936,0.149013447179996,13.9958408738321,22.0401879703721
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind not priority,13.8,44.68023478634,27.8184797542691,9.98584578324,0.770149137339998,6.10576011149087,16.8617550320708
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,53,171.59800316509,165.67286570286,0,5.92513746222999,0,5.92513746222999
I,"E,F & I",castleview,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.01601446829687,0.26657107642,0.0257524208899999,0.0537029723331208,0.34602646964312
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind not priority,13.8,44.68023478634,26.1413046604754,12.94821680476,0.775811585700001,4.81490173540459,18.5389301258646
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,53,171.59800316509,165.01327973848,0,6.58472342660999,0,6.58472342660998
I,"E,F & I",castleview,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.04072231799926,0.228984006359999,0.0257548228000001,0.0665797907807368,0.321318619940736
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,23.6779247781719,13.86317337546,0.770764447320001,6.36837218538802,21.002310008168
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,164.93217998731,0,6.66582317777999,0,6.66582317777999
I,"E,F & I",castleview,2030,33% ECP,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.07291973740368,0.188726767959999,0.0253184026399999,0.0750760299363148,0.289121200536314
E,"E,F & I",glenlara 220kv side,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,32.2578893531569,7.24858643496,0.733907419579999,4.4398515786431,12.4223454331831
E,"E,F & I",glenlara 220kv side,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,166.45809458862,0,5.13990857646999,0,5.13990857646998
E,"E,F & I",glenlara 220kv side,2030,100% ECP,Grandfathering,IE wind not priority,13.8,44.68023478634,27.3912393307858,11.92003537324,0.757129654819998,4.61183042749419,17.2889954555541
E,"E,F & I",glenlara 220kv side,2030,100% ECP,Grandfathering,IE wind priority,53,171.59800316509,165.30582791792,0,6.29217524717,0,6.29217524717
E,"E,F & I",knockacummer,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,105,339.95830815763,326.75243205073,0,13.2058761068999,0,13.2058761068999
I,"E,F & I",barnahely,2035,100% ECP,Grandfathering,IE Solar not priority,9.95,11.6495595,7.90586394716366,2.62343810459,0.10513788541999,1.01511956282633,3.74369555283633
E,"E,F & I",glenlara 220kv side,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,165.30582791792,0,6.29217524717,0,6.29217524717
I,"E,F & I",barnahely,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,6.6333267,7.76636523359999,5.40358716001668,1.74254952753999,0.0668447947699997,0.553383751273312,2.3627780735833
I,"E,F & I",barnahely,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,6.6333267,7.76636523359999,6.10224069369727,1.23299086370999,0.0570010166200001,0.374132659572721,1.66412453990271
E,"E,F & I",glenlara 220kv side,2035,66% ECP,Grandfathering,IE wind not priority,13.8,44.68023478634,22.090216851624,7.13369248323,0.136944061790003,15.3193813896959,22.5900179347159
E,"E,F & I",glenlara 220kv side,2035,66% ECP,Grandfathering,IE wind priority,53,171.59800316509,170.13362836878,0,1.46437479631001,0,1.46437479631
I,"E,F & I",barnahely,2035,66% ECP,Grandfathering,IE Solar not priority,6.6333267,7.76636523359999,5.66214450376735,1.23299086370999,0.0570010166200001,0.814228849502647,2.10422072983263
E,"E,F & I",glenlara 220kv side,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,26.8136053975959,7.13369248323,0.136944061790003,10.595992843724,17.866629388744
E,"E,F & I",glenlara 220kv side,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,170.13362836878,0,1.46437479631001,0,1.46437479631
E,"E,F & I",glenlara 220kv side,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind not priority,13.8,44.68023478634,25.9814580607079,13.06786396181,0.269890555780001,5.36102220804205,18.698776725632
E,"E,F & I",glenlara 220kv side,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,53,171.59800316509,168.62757966975,0,2.97042349534001,0,2.97042349534
I,"E,F & I",barnahely,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,9.95,11.6495595,7.59868990711644,3.69704685466,0.255708985400009,0.0981137528235494,4.05086959288356
E,"E,F & I",glenlara 220kv side,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,28.6714107342233,11.92003537324,0.757129654819998,3.33165902405665,16.0088240521166
E,"E,F & I",knockacummer,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,105,339.95830815763,329.7754704118,0,10.18283774583,0,10.1828377458299
H2,H2 & K,wexford,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,27,76.37558492613,74.97106184291,0,1.40452308321999,0,1.40452308321999
E,"E,F & I",knockacummer,2030,100% ECP,Grandfathering,IE wind priority,105,339.95830815763,327.49267795069,0,12.4656302069399,0,12.4656302069399
H2,H2 & K,wexford,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,27,76.37558492613,73.95232687732,0,2.42325804880999,0,2.42325804880999
E,"E,F & I",knockearagh,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,9.35,30.27247791672,29.22719423251,0,1.04528368420999,0,1.04528368420999
E,"E,F & I",knockearagh,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,1.66333167,1.94744535256,1.48802417390471,0.3274012011,0.0368242308499999,0.0951957467052836,0.459421178655283
H2,H2 & K,wexford,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,114.03,133.5074643,95.5670398366492,30.38886228342,2.83799737898999,4.71356480094078,37.9404244633507
E,"E,F & I",knockearagh,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,9.35,30.27247791672,29.1108333124,0,1.16164460431999,0,1.16164460431999
E,"E,F & I",knockearagh,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,1.66333167,1.94744535256,1.45269690475216,0.38114317228,0.0368207964599998,0.0767844790678395,0.494748447807839
H2,H2 & K,wexford,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,27,76.37558492613,73.1998601711,0,3.17572475503,0,3.17572475503
E,"E,F & I",knockearagh,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,9.35,30.27247791672,29.0965260921,0,1.17595182462,0,1.17595182461999
E,"E,F & I",knockearagh,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,1.66333167,1.94744535256,1.40587812566618,0.44327595415,0.0413972719299999,0.0568940008138203,0.54156722689382
H2,H2 & K,wexford,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,114.03,133.5074643,100.178252276179,26.12933831623,2.52425628465,4.67561742294073,33.3292120238207
E,"E,F & I",knockearagh,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,9.35,30.27247791672,29.36572046039,0,0.906757456329998,0,0.906757456329997
E,"E,F & I",knockearagh,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,1.66333167,1.94744535256,1.5870948643798,0.26984142468,0.0362002375399999,0.0543088259601965,0.360350488180196
H2,H2 & K,wexford,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,27,76.37558492613,73.2435548078899,0,3.1320301182401,0,3.1320301182401
E,"E,F & I",knockearagh,2030,100% ECP,Grandfathering,IE wind priority,9.35,30.27247791672,29.16244322699,0,1.11003468973,0,1.11003468972999
E,"E,F & I",knockearagh,2030,33% ECP,Grandfathering,IE Solar not priority,1.66333167,1.94744535256,1.53406002575877,0.26984142468,0.0362002375399999,0.107343664581227,0.413385326801227
E,"E,F & I",knockearagh,2030,100% ECP,Grandfathering,IE Solar not priority,4.99,5.8423419,3.75863274050022,1.85409686479,0.128239983579999,0.101372311129773,2.08370915949977
E,"E,F & I",knockearagh,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,9.35,30.27247791672,29.16244322699,0,1.11003468973,0,1.11003468972999
E,"E,F & I",knockearagh,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,4.99,5.8423419,3.81080026503808,1.85409686479,0.128239983579999,0.0492047865919107,2.03154163496191
H2,H2 & K,wexford,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,27,76.37558492613,73.61355567347,0,2.76202925266,0,2.76202925265999
H2,H2 & K,wexford,2030,33% ECP,Grandfathering,IE Solar not priority,114.03,133.5074643,107.684754710155,18.49902711018,2.48171376083999,4.84196871882487,25.8227095898448
E,"E,F & I",knockearagh,2035,66% ECP,Grandfathering,IE wind priority,9.35,30.27247791672,30.01414009895,0,0.258337817769998,0,0.258337817769997
E,"E,F & I",knockearagh,2035,66% ECP,Grandfathering,IE Solar not priority,3.32666334,3.89489070513,2.83960814808703,0.618354212009999,0.0285864396000001,0.408341905432964,1.05528255704296
H2,H2 & K,wexford,2030,33% ECP,Grandfathering,IE wind priority,27,76.37558492613,73.95232687732,0,2.42325804880999,0,2.42325804880999
E,"E,F & I",knockearagh,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,9.35,30.27247791672,30.01414009895,0,0.258337817769998,0,0.258337817769997
E,"E,F & I",knockearagh,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,3.32666334,3.89489070513,3.06031970464702,0.618354212009999,0.0285864396000001,0.187630348872981,0.83457100048298
H2,H2 & K,wexford,2030,Initial,Grandfathering,IE Solar not priority,114.03,133.5074643,111.331012928369,11.0418086427,1.72025220388,9.414390525051,22.176451371631
E,"E,F & I",knockearagh,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,9.35,30.27247791672,29.74845037566,0,0.52402754106,0,0.52402754106
E,"E,F & I",knockearagh,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,3.32666334,3.89489070513,2.70993969138941,0.873901722929999,0.0335231683099999,0.27752612250059,1.18495101374058
H2,H2 & K,wexford,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,114.03,133.5074643,104.990669474954,22.44504787163,2.52449172990999,3.54725522350561,28.5167948250456
I,"E,F & I",castleview,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,0.9832694705811,0.31002666929,0.02895320231,0.0397915957588994,0.378771467358899
E,"E,F & I",knockearagh,2030,33% ECP,Grandfathering,IE wind priority,9.35,30.27247791672,29.36572046039,0,0.906757456329998,0,0.906757456329997
E,"E,F & I",knockearagh,2030,Initial,Grandfathering,IE wind priority,9.35,30.27247791672,29.46467948675,0,0.807798429969999,0,0.807798429969998
E,"E,F & I",knockacummer,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,105,339.95830815763,327.49267795069,0,12.4656302069399,0,12.4656302069399
H2,H2 & K,wexford,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,114.03,133.5074643,109.65712924609,21.1956917772,0.979874236119997,1.67476904058937,23.8503350539093
E,"E,F & I",knockacummer,2035,66% ECP,Grandfathering,IE wind priority,105,339.95830815763,337.05718827795,0,2.90111987967998,0,2.90111987967998
H2,H2 & K,wexford,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,27,76.37558492613,75.71036610217,0,0.665218823960003,0,0.665218823960002
E,"E,F & I",knockacummer,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,105,339.95830815763,337.05718827795,0,2.90111987967998,0,2.90111987967998
E,"E,F & I",knockacummer,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,105,339.95830815763,334.07350689297,0,5.88480126465998,0,5.88480126465995
H2,H2 & K,wexford,2035,66% ECP,Grandfathering,IE Solar not priority,114.03,133.5074643,106.1576091322,21.1956917772,0.979874236119997,5.1742891544796,27.3498551677996
E,"E,F & I",knockacummer,2035,100% ECP,Grandfathering,IE wind priority,105,339.95830815763,336.63602587276,0,3.32228228486997,0,3.32228228486994
H2,H2 & K,wexford,2035,66% ECP,Grandfathering,IE wind priority,27,76.37558492613,75.71036610217,0,0.665218823960003,0,0.665218823960002
E,"E,F & I",knockanure,2030,33% ECP,Grandfathering,IE Solar not priority,38.666628,45.27127472867,35.6615156270638,6.27286678624999,0.841528569590003,2.49536374576612,9.60975910160612
E,"E,F & I",knockanure,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,38.666628,45.27127472867,34.59134352163,7.61092972466,0.856034224309993,2.21296725806995,10.6799312070399
H2,H2 & K,wexford,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,114.03,133.5074643,111.90845057215,18.49902711018,2.48171376083999,0.618272856829557,21.5990137278495
E,"E,F & I",knockanure,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,38.666628,45.27127472867,33.770108406195,8.86024208153,0.855954386869996,1.78496985407495,11.5011663224749
E,"E,F & I",knockanure,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,38.666628,45.27127472867,36.8943896310749,6.27286678624999,0.841528569590003,1.26248974175506,8.37688509759506
E,"E,F & I",knockanure,2030,100% ECP,Grandfathering,IE Solar not priority,116,135.81396,87.3750296374598,43.10124976351,2.98112987938009,2.35655071965003,48.4389303625401
H2,H2 & K,wexford,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,114.03,133.5074643,88.0783605061851,42.3692716425001,2.93050207023989,0.129330081074917,45.4291037938149
E,"E,F & I",knockanure,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,116,135.81396,88.5877416307248,43.10124976351,2.98112987938009,1.14383872638509,47.2262183692751
H2,H2 & K,wexford,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,27,76.37558492613,73.43511655018,0,2.94046837595,0,2.94046837595
E,"E,F & I",knockanure,2035,66% ECP,Grandfathering,IE Solar not priority,77.333256,90.54254945732,66.0109308974283,14.3745668534299,0.664534466000091,9.49251724046168,24.5316185598916
E,"E,F & I",knockanure,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,77.333256,90.54254945732,71.1417005488882,14.3745668534299,0.664534466000091,4.36174758900175,19.4008489084317
H2,H2 & K,wexford,2030,100% ECP,Grandfathering,IE Solar not priority,114.03,133.5074643,86.5148094407468,42.3692716425001,2.93050207023989,1.69288114651315,46.9926548592531
E,"E,F & I",knockanure,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,77.333256,90.54254945732,62.9965940264296,20.31515027167,0.779296099129993,6.45150906009036,27.5459554308903
E,"E,F & I",knockanure,2035,100% ECP,Grandfathering,IE Solar not priority,116,135.81396,92.1688661171573,30.5848060434,1.22572811202,11.8345597274226,43.6450938828426
H2,H2 & K,wexford,2030,100% ECP,Grandfathering,IE wind priority,27,76.37558492613,73.43511655018,0,2.94046837595,0,2.94046837595
E,"E,F & I",knockanure,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,38.666628,45.27127472867,32.6817359869829,10.30461135892,0.962341391910001,1.3225859908571,12.5895387416871
H2,H2 & K,wexford,2030,Initial,Grandfathering,IE wind priority,27,76.37558492613,74.23007275952,0,2.14551216661,0,2.14551216661
E,"E,F & I",glenlara 220kv side,2030,33% ECP,Grandfathering,IE wind priority,53,171.59800316509,166.45809458862,0,5.13990857646999,0,5.13990857646998
I,"E,F & I",castleview,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.11001223976526,0.188726767959999,0.0253184026399999,0.0379835275747319,0.252028698174731
E,"E,F & I",drombeg,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,25.2,81.5899939577301,48.9639750737422,13.0267427954901,0.250071765159987,19.3492043233377,32.6260188839878
I,"E,F & I",cow cross,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,10.283328,12.03982325567,9.46001085512022,1.91144655558999,0.0883659402500001,0.579999904709776,2.57981240054977
E,"E,F & I",drombeg,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,79.333304,92.88422565628,72.9816181117791,14.74633218673,0.681721131709991,4.47455422606083,19.9026075445008
E,"E,F & I",drombeg,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind not priority,25.2,81.5899939577301,47.4444016761231,23.8630559303101,0.492843623559998,9.78969272773685,34.1455922816069
I,"E,F & I",cow cross,2035,66% ECP,Grandfathering,IE Solar not priority,10.283328,12.03982325567,8.77775085538107,1.91144655558999,0.0883659402500001,1.26225990444892,3.26207240028892
E,"E,F & I",drombeg,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,79.333304,92.88422565628,64.6258570163716,20.84055522386,0.799450812469999,6.61836260357833,28.2583686399083
E,"E,F & I",drombeg,2035,100% ECP,Grandfathering,IE wind not priority,25.2,81.5899939577301,41.3426941857507,14.41756579455,0.272111512150004,25.5576224652793,40.2472997719793
E,"E,F & I",drombeg,2035,100% ECP,Grandfathering,IE Solar not priority,94,110.05614,74.688563922613,24.78423938001,0.9932624355,9.59007426187696,35.3675760773869
I,"E,F & I",cow cross,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,12.95,15.1619895,9.88975219059925,4.8117343486,0.332807171949999,0.12769578885075,5.27223730940075
E,"E,F & I",garrow,2030,Initial,Grandfathering,IE wind priority,69.225,224.12965602072,218.14892379362,0,5.98073222709999,0,5.98073222709998
I,"E,F & I",cow cross,2030,100% ECP,Grandfathering,IE Solar not priority,12.95,15.1619895,9.75436753273044,4.8117343486,0.332807171949999,0.263080446719551,5.40762196726955
E,"E,F & I",garrow,2030,33% ECP,Grandfathering,IE wind priority,69.225,224.12965602072,217.41625656423,0,6.71339945649,0,6.71339945648999
E,"E,F & I",garrow,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,69.225,224.12965602072,216.39064392986,0,7.73901209086,0,7.73901209085999
I,"E,F & I",cow cross,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,7.616664,8.91766637788,7.26756337040698,1.23564740704,0.165766726749999,0.248688873683021,1.65010300747301
E,"E,F & I",garrow,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,69.225,224.12965602072,215.52913754546,0,8.60051847526,0,8.60051847525998
E,"E,F & I",garrow,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,69.225,224.12965602072,215.42321055905,0,8.70644546167,0,8.70644546166999
I,"E,F & I",cow cross,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,7.616664,8.91766637788,6.43774269503267,2.02983209116999,0.18956478537001,0.260526806307316,2.47992368284732
E,"E,F & I",garrow,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,69.225,224.12965602072,217.41625656423,0,6.71339945649,0,6.71339945648999
E,"E,F & I",garrow,2030,100% ECP,Grandfathering,IE wind priority,69.225,224.12965602072,215.91124410614,0,8.21841191458,0,8.21841191457999
I,"E,F & I",cow cross,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,7.616664,8.91766637788,6.65213343604073,1.74531606157,0.16860836585,0.351608514419254,2.26553294183926
E,"E,F & I",garrow,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,69.225,224.12965602072,215.91124410614,0,8.21841191458,0,8.21841191457999
I,"E,F & I",cow cross,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,7.616664,8.91766637788,6.81390269958781,1.49922290712,0.16862409264,0.435916678532181,2.10376367829218
E,"E,F & I",garrow,2035,66% ECP,Grandfathering,IE wind priority,69.225,224.12965602072,222.21698912873,0,1.91266689199,0,1.91266689198998
E,"E,F & I",garrow,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,69.225,224.12965602072,222.21698912873,0,1.91266689199,0,1.91266689198998
I,"E,F & I",cow cross,2030,33% ECP,Grandfathering,IE Solar not priority,7.616664,8.91766637788,7.02470829023471,1.23564740704,0.165766726749999,0.491543953855284,1.89295808764528
E,"E,F & I",drombeg,2035,66% ECP,Grandfathering,IE Solar not priority,79.333304,92.88422565628,67.7181528244311,14.74633218673,0.681721131709991,9.73801951340889,25.1660728318488
I,"E,F & I",cow cross,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,10.283328,12.03982325567,8.37692181553795,2.70139089466,0.1036262769,0.85788426857205,3.66290144013204
E,"E,F & I",drombeg,2035,66% ECP,Grandfathering,IE wind not priority,25.2,81.5899939577301,40.3386568593517,13.0267427954901,0.250071765159987,27.9745225377282,41.2513370983783
E,"E,F & I",dromada,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,28.5,92.27439792837,90.67709472803,0,1.59730320034,0,1.59730320034
E,"E,F & I",dromada,2035,100% ECP,Grandfathering,IE wind priority,28.5,92.27439792837,91.37263559402,0,0.90176233435001,0,0.901762334350008
I,"E,F & I",kilbarry,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,79.8,93.430638,60.9422567424964,29.65068733726,2.05081176192,0.786882158323542,32.4883812575035
E,"E,F & I",drombeg,2030,Initial,Grandfathering,IE wind not priority,25.2,81.5899939577301,41.4031122056022,9.73922095862009,1.36963016881,29.0780306246977,40.1868817521278
I,"E,F & I",kilbarry,2030,100% ECP,Grandfathering,IE Solar not priority,79.8,93.430638,60.10799452644,29.65068733726,2.05081176192,1.62114437437993,33.3226434735599
E,"E,F & I",drombeg,2030,Initial,Grandfathering,IE Solar not priority,50,58.5405,44.0884740680324,4.84162441581,0.754298081119998,8.85610343503752,14.4520259319675
