Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
D,D and E North,ennis,2030,33% ECP,Grandfathering,IE Solar not priority,42.89664207,50.22381750205,42.0543247347023,6.95909975093999,0.933589291469999,0.276803724937645,8.16949276734764
C,C,cregg,2035,100% ECP,Grandfathering,IE Solar not priority,75,96.096525,66.1411649182892,21.1295828086398,0.870871092430107,7.95490618064077,29.9553600817107
J,J Country,blundelstown,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,60,76.8772199999999,36.0137086653063,16.8904204414298,0.656818054429997,23.3162728388336,40.8635113346935
D,D and E North,ennis,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,42.89664207,50.22381750205,40.6429482823858,8.44354279396989,0.949681821860096,0.187644603834155,9.58086921966414
C,C,dallow,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,9.99,32.06149611892,31.51730185817,0,0.544194260749996,0,0.544194260749993
C,J Country,mullingar,2030,33% ECP,Grandfathering,IE wind not priority,38.833304,124.63001255991,88.7764794201966,19.48522561102,2.14607789507999,14.2222296336133,35.8535331397133
J,J Country,craddanstown,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind not priority,60.666606,187.094710987,115.649319162226,60.82270771006,3.51035166744999,7.11233244726373,71.4453918247737
C,C,cregg,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,49.99995,64.06428593565,46.8202902015889,14.07533629252,0.547347831439999,2.62131161010107,17.243995734061
C,J Country,shanonagh,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,133.3332,170.8380958284,84.1561658922095,26.1691049073199,1.2317175121,59.2811075167705,86.6819299361904
J,J Country,athy,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,4.99,6.39362213,2.82122119422246,2.01766031269999,0.14086368596,1.41387693711753,3.57240093577753
