name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Meenanilta (1),A,Letterkenny,wind,DSO,connected,Pre-Gate,2.55,N,wind uncontrolled,N/A
Meenanilta (2),A,Letterkenny,wind,DSO,connected,Pre-Gate,2.45,N,wind uncontrolled,N/A
Meentycat (1),A,Meentycat,wind,TSO,connected,Pre-Gate,70.96,Y,wind priority,N/A
Milane Hill (1),F,Dunmanway,wind,DSO,connected,Pre-Gate,5.94,N,wind uncontrolled,N/A
Moanmore (1),D,Tullabrack,wind,DSO,connected,Pre-Gate,12.6,N,wind uncontrolled,N/A
Moneenatieve (1),A,Corderry,wind,DSO,connected,Pre-Gate,3.96,N,wind uncontrolled,N/A
Mount Eagle (1),E,Tralee,wind,DSO,connected,Pre-Gate,5.1,N,wind uncontrolled,N/A
Mountain Lodge (1),G,Ratrussan,wind,TSO,connected,Pre-Gate,24.8,Y,wind priority,N/A
Mountain Lodge (2),G,Shankill,wind,DSO,connected,Pre-Gate,3,N,wind uncontrolled,N/A
Raheen Barr (1),B,Castlebar,wind,DSO,connected,Pre-Gate,18.7,N,wind uncontrolled,N/A
Rathcahill (1),E,Rathkeale,wind,DSO,connected,Pre-Gate,12.5,Y,wind priority,N/A
Ratrussan (1a),G,Ratrussan,wind,TSO,connected,Pre-Gate,48,Y,wind priority,N/A
Richfield (1),H2,Wexford,wind,DSO,connected,Pre-Gate,20.25,Y,wind priority,N/A
Skehanagh (1),C,Dallow,wind,DSO,connected,Pre-Gate,4.25,N,wind uncontrolled,N/A
Sonnagh Old (1),C,Somerset,wind,DSO,connected,Pre-Gate,7.65,N,wind uncontrolled,N/A
Sorne Hill (1),A,Sorne Hill,wind,DSO,connected,Pre-Gate,31.5,Y,wind priority,N/A
Spion Kop (1),A,Arigna,wind,DSO,connected,Pre-Gate,1.2,N,wind uncontrolled,N/A
Taurbeg (1),E,Glenlara,wind,DSO,connected,Pre-Gate,26,Y,wind priority,N/A
Tournafulla (1),E,Trien,wind,DSO,connected,Pre-Gate,7.5,Y,wind priority,N/A
Tursillagh (1),E,Tralee,wind,DSO,connected,Pre-Gate,15,N,wind uncontrolled,N/A
Tursillagh (2),E,Tralee,wind,DSO,connected,Pre-Gate,6.8,N,wind uncontrolled,N/A
Aghada BESS 02,I,Aghada,battery,TSO,connected,Pre-Gate 1,159,N,battery,318
Aghada BESS 01,I,Aghada,battery,TSO,connected,Post Gate 1,19,N,battery,38
Ballinknockane Solar Farm,E,Ballinknockane,solar,TSO,due to connected,Non GPA,50,Y,solar not priority,N/A
Ballycrissane Solar Farm,C,Somerset,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Ballycullane Solar Park,H2,Great Island,solar,DSO,connected,Non GPA,4.99,Y,solar not priority,N/A
Ballytobin Solar PV,H2,Kilkenny,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Banemore Solar Farm,E,Clahane,solar,TSO,due to connected,Non GPA,34,Y,solar not priority,N/A
Barnderg Solar Farm,B,Cloon,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
Beaulieu PV,G,Drybridge,solar,DSO,connected,Non GPA,3.99,Y,solar not priority,N/A
Blundelstown,J,Blundelstown,solar,TSO,connected,Non GPA,60,Y,solar not priority,N/A
Blusheens Solar (1),H2,Wexford,solar,DSO,connected,Non GPA,7.98,Y,solar not priority,N/A
Bodenstown Solar Farm,J,Monread,solar,DSO,due to connected,Non GPA,4,Y,solar not priority,N/A
