name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Mullagharoy Solar Farm,G,Drybridge,solar,DSO,due to connected,ECP-2.4,0.99,Y,solar not priority,N/A
Reask Phase 2,J,Crakenstown,solar,TSO,due to connected,ECP-2.4,30,Y,solar not priority,N/A
Sandford Energy Solar Farm Ext. ,E,Tralee,solar,DSO,due to connected,ECP-2.4,1.5,Y,solar not priority,N/A
Seven Hills Wind Farm,C,Athlone,wind,TSO,due to connected,ECP-2.4,122.4,Y,wind not priority,N/A
Spion Kop Windfarm Ext. (Ext to DG978),A,Arigna,wind,DSO,due to connected,ECP-2.4,1.5,Y,wind not priority,N/A
Tarbert BESS,E,Tarbert,Battery,TSO,due to connected,ECP-2.4,100,N,battery,*
Templemichael Solar Plus Storage Facility,H2,Arklow,solar,TSO,due to connected,ECP-2.4,30,Y,solar not priority,N/A
Templemichael Solar Plus Storage Facility Battery,H2,Arklow,Battery,TSO,due to connected,ECP-2.4,20,N,battery,*
Tincurry Solar Farm,H2,Lodgewood,solar,TSO,due to connected,ECP-2.4,109,Y,solar not priority,N/A
Tincurry Solar Farm Battery,H2,Lodgewood,Battery,TSO,due to connected,ECP-2.4,60,N,battery,*
Tullabeg Phase 3,H2,Tullabeg,solar,TSO,due to connected,ECP-2.4,30,Y,solar not priority,N/A
TULLYNAMOYLE WIND FARM 6,A,Corderry,wind,DSO,due to connected,ECP-2.4,20.2,Y,wind not priority,N/A
White Hill Wind Farm,H2,Kellymount,wind,TSO,due to connected,ECP-2.4,50.4,Y,wind not priority,N/A
Ardass Solar Ext.,C,Carrick on Shannon,solar,DSO,due to connected,ECP-2.4 (Cat C),4.99,Y,solar not priority,N/A
Brighter Community Solar Farm Kilcummin,E,Knockearagh,solar,DSO,due to connected,ECP-2.4 (Cat C),4.99,Y,solar not priority,N/A
Moy Valley Decarbonising Community CLG,B,Castlebar,solar,DSO,due to connected,ECP-2.4 (Cat C),4.99,Y,solar not priority,N/A
Project GiMAT,J,Fosterstown,solar,DSO,due to connected,ECP-2.4 (Cat C),4.99,Y,solar not priority,N/A
Ballinagree,E,Clashavoon,wind,TSO,due to connected,ECP-2.5,112,Y,wind not priority,N/A
Ballivor,J,Craddanstown,wind,TSO,due to connected,ECP-2.5,182,Y,wind not priority,N/A
Ballyboe ph2,H1,Doon,solar,DSO,due to connected,ECP-2.5,4,Y,solar not priority,N/A
Ballydonagh,C,Somerset,solar,TSO,due to connected,ECP-2.5,90,Y,solar not priority,N/A
Ballyduff solar ph2,I,Midleton,solar,DSO,due to connected,ECP-2.5,8,Y,solar not priority,N/A
Ballymoneen ph3 solar,B,Cashla,solar,TSO,due to connected,ECP-2.5,20,Y,solar not priority,N/A
Ballymoney Solar ph2,H2,Arklow,solar,DSO,due to connected,ECP-2.5,6.3,Y,solar not priority,N/A
Ballynahina Solar,I,Kilbarry,solar,DSO,due to connected,ECP-2.5,30,Y,solar not priority,N/A
Ballyteigue Solar ph2,J,Thornsberry,solar,TSO,due to connected,ECP-2.5,90,Y,solar not priority,N/A
Barretspark Battery,B,Cashla,Battery,TSO,due to connected,ECP-2.5,100,N,Battery,*
Baunogephlure Battery,H2,Kellis,Battery,TSO,due to connected,ECP-2.5,50,N,battery,*
Baunogephlure Solar,H2,Kellis,solar,TSO,due to connected,ECP-2.5,55,Y,solar not priority,N/A
Bishopswood Solar,J,Bracklone,solar,TSO,due to connected,ECP-2.5,25,Y,solar not priority,N/A
Borrisbeg,H1,Borrisbeg,wind,TSO,due to connected,ECP-2.5,54,Y,wind not priority,N/A
Brianstown Bess Phase 2,C,Richmond,Battery,DSO,due to connected,ECP-2.5,9.55,N,battery,*
Brinny solar non export,F,Bandon,solar,TSO,due to connected,ECP-2.5,8.2,N,solar uncontrolled,N/A
Brownstown Battery,H2,Kilkenny,Battery,TSO,due to connected,ECP-2.5,50,N,battery,*
Brownstown Solar,H2,Kilkenny,solar,TSO,due to connected,ECP-2.5,50,Y,solar not priority,N/A
Clonloghan Solar Farm,D,Drumline,solar,DSO,due to connected,ECP-2.5,9.99,Y,solar not priority,N/A
Clonymeath Solar ph2,J,Curraghdoo,solar,TSO,due to connected,ECP-2.5,4,Y,solar not priority,N/A
Coppenagh Solar ph3,H2,Carlow,solar,DSO,due to connected,ECP-2.5,20,Y,solar not priority,N/A
Cregg Solar,C,Cregg,solar,TSO,due to connected,ECP-2.5,75,Y,solar not priority,N/A
Culmullin Solar Farm Ext,J,Arodstown,solar,TSO,due to connected,ECP-2.5,120,Y,solar not priority,N/A
Cush,C,Dallow,wind,TSO,due to connected,ECP-2.5,57.6,Y,wind not priority,N/A
Debsborough Solar Farm,H1,Nenagh,solar,DSO,due to connected,ECP-2.5,42,Y,solar not priority,N/A
Delamain Solar,J,Dunstown,solar,TSO,due to connected,ECP-2.5,210,Y,solar not priority,N/A
Derrycarney solar,C,Derrycarney,solar,TSO,due to connected,ECP-2.5,105,Y,solar not priority,N/A
Dexcom Roadrunner - Battery CHP Solar,B,Galway,Battery,DSO,due to connected,ECP-2.5,6,N,battery,*
Dexcom Roadrunner - Battery CHP Solar,B,Galway,solar,DSO,due to connected,ECP-2.5,1.2,Y,solar not priority,N/A
Drumlins BESS,G,Lislea,battery,TSO,due to connected,ECP-2.5,20,N,battery,*
Erkina Solar ph2,H1,Timoney,solar,TSO,due to connected,ECP-2.5,15,Y,solar not priority,N/A
Esk (3),E,Boggeragh,solar,DSO,due to connected,ECP-2.5,12.7,Y,solar not priority,N/A
Extension Maothail Solar,C,Carrick on Shannon,solar,DSO,due to connected,ECP-2.5,1,Y,solar not priority,N/A
Fahybeg,D,Ardnacrusha,wind,DSO,due to connected,ECP-2.5,40,Y,wind not priority,N/A
Garravagh Solar ph2,I,Coolroe,solar,DSO,due to connected,ECP-2.5,14,Y,solar not priority,N/A
Gormagh Battery,J,Thornsberry,Battery,TSO,due to connected,ECP-2.5,40,N,battery,*
Gormagh Solar Farm,J,Thornsberry,solar,TSO,due to connected,ECP-2.5,40,Y,solar not priority,N/A
Grangeford Solar ph2,H2,Kellis,solar,TSO,due to connected,ECP-2.5,22,Y,solar not priority,N/A
Hawkinstown Solar,G,Deenes,solar,TSO,due to connected,ECP-2.5,85,Y,solar not priority,N/A
Kellistown Battery,H2,Kellis,battery,TSO,due to connected,ECP-2.5,100,N,battery,*
Kilbeg Solar,B,Dalton,solar,DSO,due to connected,ECP-2.5,12,Y,solar not priority,N/A
Kilcash Wind Farm,C,Lanesboro,wind,DSO,due to connected,ECP-2.5,4.5,Y,wind not priority,N/A
Kilderry Solar,H2,Kilkenny,solar,DSO,due to connected,ECP-2.5,35,Y,solar not priority,N/A
Kinnegad solar non export,J,Kinnegad,solar,TSO,due to connected,ECP-2.5,12,N,solar uncontrolled,N/A
Liss Wind Farm,H1,Thurles,wind,DSO,due to connected,ECP-2.5,2.35,Y,wind not priority,N/A
Lissanore Wind Turbine,C,Richmond,wind,DSO,due to connected,ECP-2.5,4.5,Y,wind not priority,N/A
Lumcloon,C,Derrycarney,solar,TSO,due to connected,ECP-2.5,95,Y,solar not priority,N/A
Manusmore Solar 2,D,Coolshamroge,solar,TSO,due to connected,ECP-2.5,60,Y,solar not priority,N/A
Meenadreen BESS ECP-2.5,A,Clogher,Battery,TSO,due to connected,ECP-2.5,75,N,battery,*
Meenawley,A,Binbane,wind,DSO,due to connected,ECP-2.5,4.5,Y,wind not priority,N/A
Milltown ph2 solar,G,Balruntagh,solar,TSO,due to connected,ECP-2.5,19,Y,solar not priority,N/A
Mothel Battery,H1,Curraghduff,battery,TSO,due to connected,ECP-2.5,55,N,battery,*
Mothel solar,H1,Curraghduff,solar,TSO,due to connected,ECP-2.5,125,Y,solar not priority,N/A
Moyvilla Solar,B,Cashla,solar,TSO,due to connected,ECP-2.5,85,Y,solar not priority,N/A
Powerscourt BESS,H1,Doon,battery,TSO,due to connected,ECP-2.5,100,N,battery,*
Rahanisky,I,Kilbarry,solar,DSO,due to connected,ECP-2.5,39.9,Y,solar not priority,N/A
Rath Solar PV (ECP2.4+2.5),C,Derrycarney,solar,TSO,due to connected,ECP-2.5,119.25,Y,solar not priority,N/A
Rathcoursey Battery,I,Rathcoursey,Battery,TSO,due to connected,ECP-2.5,30,N,battery,*
Rathcoursey Solar,I,Rathcoursey,solar,TSO,due to connected,ECP-2.5,110,Y,solar not priority,N/A
Rathdrinagh Solar,G,Garballagh,solar,TSO,due to connected,ECP-2.5,72,Y,solar not priority,N/A
Rathduff Solar,H1,Tipperary,solar,DSO,due to connected,ECP-2.5,25,Y,solar not priority,N/A
Sheskin South,B,Bellacorick,wind,TSO,due to connected,ECP-2.5,129.6,Y,wind not priority,N/A
Springmount PV,H1,Springmount,solar,TSO,due to connected,ECP-2.5,65,Y,solar not priority,N/A
Tomsallagh ph2,H2,Effernoge,solar,DSO,due to connected,ECP-2.5,1,Y,solar not priority,N/A
Boliden Tara Mines Solar Farm (non export),G,Navan,solar,DSO,due to connected,ECP-2.5 (Cat B),17,N,solar uncontrolled,N/A
Carrigaline PV,I,Barnahely,solar,DSO,due to connected,ECP-2.5 (Cat B),4,N,solar uncontrolled,N/A
Ballinakilla Wind Farm,B,Cloon,wind,DSO,due to connected,ECP-2.5 (Cat C),4.5,Y,wind not priority,N/A
Ballinderry Solar,B,Cloon,solar,DSO,due to connected,ECP-2.5 (Cat C),4.99,Y,solar not priority,N/A
Cloonaraher Wind Farm ,B,Tonroe,wind,DSO,due to connected,ECP-2.5 (Cat C),4.99,Y,wind not priority,N/A
Derrylough WF,C,Athlone,wind,DSO,due to connected,ECP-2.5 (Cat C),4.99,Y,wind not priority,N/A
Derryveagh solar,C,Athlone,solar,DSO,due to connected,ECP-2.5 (Cat C),4.99,Y,solar not priority,N/A
Dolanstown Solar Farm,J,Griffinrath,solar,DSO,due to connected,ECP-2.5 (Cat C),4.9,Y,solar not priority,N/A
Dundalk Golf club,G,Dundalk,solar,DSO,due to connected,ECP-2.5 (Cat C),4.99,Y,solar not priority,N/A
Blackhall Solar,J,Arodstown,solar,TSO,due to connected,ECP-2.5.1,165.6,Y,solar not priority,N/A
Creemore Battery,J,Woodland,battery,TSO,due to connected,ECP-2.5.1,290,N,battery,*
Glenard (1),A,Letterkenny,wind,TSO,due to connected,ECP-2.5.1,93,Y,wind not priority,N/A
Gortyrahilly,E,Coomataggart,wind,TSO,due to connected,ECP-2.5.1,85.8,Y,wind not priority,N/A
Inchamore,E,Glanlee,wind,TSO,due to connected,ECP-2.5.1,26,Y,wind not priority,N/A
Kildallan Solar,C,Shanonagh,solar,TSO,due to connected,ECP-2.5.1,130,Y,solar not priority,N/A
Kilrue Solar extension,J,Crakenstown,solar,TSO,due to connected,ECP-2.5.1,175,Y,solar not priority,N/A
Knockanarragh,G,Balruntagh,wind,TSO,due to connected,ECP-2.5.1,50.4,Y,wind not priority,N/A
Oweninney (3) extension,B,Bellacorick,wind,TSO,due to connected,ECP-2.5.1,40,Y,wind not priority,N/A
ShannonB BESS new,C,Shannonbridge,Battery,TSO,due to connected,ECP-2.5.1,75,N,battery,*
Taduff Battery,C,Athlone,Battery,TSO,due to connected,ECP-2.5.1,80,N,battery,*
Agharue wind Farm,H2,Kilkenny,wind,TSO,due to connected,ECP-GSS1,46.2,Y,wind not priority,N/A
Annagh Wind Farm,E,Charleville,wind,DSO,due to connected,ECP-GSS1,37.2,Y,wind not priority,N/A
Ardgoulbeg Solar,E,Rathkeale,solar,TSO,due to connected,ECP-GSS1,54,Y,solar not priority,N/A
Athclare (prev Croaghaun) Wind Farm,H2,Castledockrell,wind,DSO,due to connected,ECP-GSS1,38.5,Y,wind not priority,N/A
Ballinla Wind Farm,J2,Derryiron,wind,TSO,due to connected,ECP-GSS1,55,Y,wind not priority,N/A
Ballinlee Windfarm,E,Charleville,wind,TSO,due to connected,ECP-GSS1,76.5,Y,wind not priority,N/A
Ballinrobe Solar Farm,B,Dalton,solar,DSO,due to connected,ECP-GSS1,1,Y,solar not priority,N/A
Ballybeg Solar Farm,H1,Barrymore,solar,DSO,due to connected,ECP-GSS1,1.96,Y,Solar not priority,N/A
Ballycar Windfarm,D,Ardnacrusha,wind,TSO,due to connected,ECP-GSS1,54,Y,wind not priority,N/A
Ballycunneen PV and BESS P2,D,Drumline,solar,DSO,due to connected,ECP-GSS1,14,Y,solar not priority,N/A
Ballykett Windfarm,D,Tullabrack,wind,DSO,due to connected,ECP-GSS1,18,Y,wind not priority,N/A
Ballyloo Solar,H2,Kellis,solar,TSO,due to connected,ECP-GSS1,241,Y,solar not priority,N/A
Ballymahon PV and BESS,C,Foigha,battery,TSO,due to connected,ECP-GSS1,70,N,battery,*
Ballymahon PV and BESS,C,Foigha,solar,TSO,due to connected,ECP-GSS1,70,Y,solar not priority,N/A
Ballynalacken Wind Farm,H2,Ballyragget,wind,TSO,due to connected,ECP-GSS1,50.4,Y,wind not priority,N/A
Ballyragget BESS,H2,Ballyragget,Battery,TSO,due to connected,ECP-GSS1,79,N,battery,*
Ballyroe Solar,E,Charleville,solar,TSO,due to connected,ECP-GSS1,7,Y,solar not priority,N/A
Ballysallagh Solar,I,Knockraha,solar,TSO,due to connected,ECP-GSS1,159,Y,solar not priority,N/A
Barnacurragh Solar 2,B,Cloon,solar,TSO,due to connected,ECP-GSS1,20,Y,solar not priority,N/A
Bocade Glebe (prev Killeshandra) Solar,A,Gortawee,solar,DSO,due to connected,ECP-GSS1,5,Y,solar not priority,N/A
Boscabell Solar Farm,H1,Meldrum,solar,TSO,due to connected,ECP-GSS1,80,Y,solar not priority,N/A
Bracklone BESS,J2,Bracklone,Battery,TSO,due to connected,ECP-GSS1,115,N,battery,*
Cadamstown Solar,J2,Timahoe,battery,TSO,due to connected,ECP-GSS1,211,N,battery,*
Cadamstown Solar,J2,Timahoe,solar,TSO,due to connected,ECP-GSS1,343,Y,solar not priority,N/A
Cappakeel Solar Farm,J2,Bracklone,solar,TSO,due to connected,ECP-GSS1,226,Y,solar not priority,N/A
Castlegarden Solar Farm and Battery,H2,Kilkenny,battery,TSO,due to connected,ECP-GSS1,80,N,battery,*
Castlegarden Solar Farm and Battery,H2,Kilkenny,solar,TSO,due to connected,ECP-GSS1,56,Y,solar not priority,N/A
Cloonanny Wind Farm ,C,Richmond,wind,DSO,due to connected,ECP-GSS1,14,Y,wind not priority,N/A
Cloonkett Windfarm,E,Prospect,wind,TSO,due to connected,ECP-GSS1,63,Y,wind not priority,N/A
Cooloo Wind Farm,B,Cloon,wind,TSO,due to connected,ECP-GSS1,64.8,Y,wind not priority,N/A
Coolvallanane Beg Solar Farm,F,Brinny,solar,DSO,due to connected,ECP-GSS1,11.95,Y,solar not priority,N/A
Croagh Wind Farm,A,Garvagh,wind,DSO,due to connected,ECP-GSS1,48,Y,wind not priority,N/A
Culmullin Solar Farm Extension,J,Arodstown,solar,TSO,due to connected,ECP-GSS1,110,Y,solar not priority,N/A
Cummeennabuddoge Wind Farm,E,Ballyvouskil 220,wind,TSO,due to connected,ECP-GSS1,122.4,Y,wind not priority,N/A
Derrynadarragh Windfarm,J2,Bracklone,wind,TSO,due to connected,ECP-GSS1,64.8,Y,wind not priority,N/A
Drumdowney Solar Farm,H2,Great Island,solar,TSO,due to connected,ECP-GSS1,125,Y,solar not priority,N/A
Foigha Solar,C,Foigha,solar,TSO,due to connected,ECP-GSS1,85,Y,solar not priority,N/A
Fyanstown Solar,G,Navan,solar,TSO,due to connected,ECP-GSS1,100,Y,solar not priority,N/A
Garrane Windfarm,E,Charleville,wind,TSO,due to connected,ECP-GSS1,54,Y,wind not priority,N/A
Garreenleen Phase 3 Solar Farm & Garreenleen BESS,H2,Kellis,solar,TSO,due to connected,ECP-GSS1,63,Y,solar not priority,N/A
Glenpatrick Solar Farm,H1,Doon,solar,DSO,due to connected,ECP-GSS1,8,Y,solar not priority,N/A
Hiskinstown Solar and Battery,J2,Kinnegad,battery,TSO,due to connected,ECP-GSS1,50,N,battery,*
Hiskinstown Solar and Battery,J2,Kinnegad,solar,TSO,due to connected,ECP-GSS1,75,Y,solar not priority,N/A
Kilcandra Solar Farm,H2,Ballybeg,solar,TSO,due to connected,ECP-GSS1,134,Y,solar not priority,N/A
Kilgarvan Wind Farm Repower,E,Glanlee,wind,TSO,due to connected,ECP-GSS1,10,Y,wind not priority,N/A
Killary Solar Farm,G,Gorman,solar,TSO,due to connected,ECP-GSS1,70,Y,solar not priority,N/A
Killough Solar,H1,Thurles,solar,TSO,due to connected,ECP-GSS1,140,Y,solar not priority,N/A
Kilmorna Solar,E,Knockanure,solar,TSO,due to connected,ECP-GSS1,116,Y,solar not priority,N/A
Kilmullen (prev Bracklone) PV and BESS,J2,Bracklone,solar,DSO,due to connected,ECP-GSS1,10,Y,solar not priority,N/A
Knockanedan wind Farm,D,Booltiagh,wind,TSO,due to connected,ECP-GSS1,48,Y,wind not priority,N/A
Knockdinnin Solar,J,Richardstown,solar,TSO,due to connected,ECP-GSS1,110,Y,solar not priority,N/A
Knockshanvo Wind Farm,D,Ardnacrusha,wind,TSO,due to connected,ECP-GSS1,64.8,Y,wind not priority,N/A
Laccamore PV and BESS,E,Tralee,battery,TSO,due to connected,ECP-GSS1,60,N,battery,*
Laccamore PV and BESS,E,Tralee,solar,TSO,due to connected,ECP-GSS1,100,Y,solar not priority,N/A
Lackareagh Wind farm,D,Ardnacrusha,wind,TSO,due to connected,ECP-GSS1,46.2,Y,wind not priority,N/A
Lahardan BESS Solar,K,Cullenagh,battery,TSO,due to connected,ECP-GSS1,133,N,battery,*
Lahardan BESS Solar,K,Cullenagh,solar,TSO,due to connected,ECP-GSS1,50,Y,solar not priority,N/A
Lanesboro BESS 2,C,Lanesboro,Battery,TSO,due to connected,ECP-GSS1,100,N,battery,*
Leamore single turbine,J2,Dallow,wind,DSO,due to connected,ECP-GSS1,4.5,Y,wind not priority,N/A
Meath Hill BESS,G,Meath Hill,Battery,TSO,due to connected,ECP-GSS1,100,N,battery,*
Moanmore Lower Wind Farm,D,Tullabrack,wind,DSO,due to connected,ECP-GSS1,13.5,Y,wind not priority,N/A
Mogullaun Solar Farm,D,Drumline,solar,TSO,due to connected,ECP-GSS1,70.2,Y,solar not priority,N/A
Mullacash Solar and Battery,J,Dunstown,battery,TSO,due to connected,ECP-GSS1,138.4,N,battery,*
Mullacash Solar and Battery,J,Dunstown,solar,TSO,due to connected,ECP-GSS1,231.8,Y,solar not priority,N/A
Prospect BESS,E,Prospect,Battery,TSO,due to connected,ECP-GSS1,200,N,battery,*
Rathcoon Solar Farm,G,Gorman,solar,TSO,due to connected,ECP-GSS1,80,Y,solar not priority,N/A
Rosehill PV and BESS,H2,Kilkenny,solar,DSO,due to connected,ECP-GSS1,5,Y,solar not priority,N/A
Rosehill PV and BESS,H2,Kilkenny,battery,DSO,due to connected,ECP-GSS1,5,N,battery,*
Scart Mountain Wind Farm,K,Woodhouse,wind,TSO,due to connected,ECP-GSS1,108,Y,wind not priority,N/A
Screeb Battery storage,B,Screebe,Battery,TSO,due to connected,ECP-GSS1,120,N,battery,*
Seskin Renewables Wind Farm,H2,Ballyragget,wind,TSO,due to connected,ECP-GSS1,48,Y,wind not priority,N/A
Seskin Storage,H1,Cauteen,Battery,TSO,due to connected,ECP-GSS1,50,N,battery,*
Shannonbridge BESS 2,C,Shannonbridge,Battery,TSO,due to connected,ECP-GSS1,100,N,battery,*
Shelbourne Solar Farm,H2,Loughtown,battery,TSO,due to connected,ECP-GSS1,50,N,battery,*
Shelbourne Solar Farm,H2,Loughtown,solar,TSO,due to connected,ECP-GSS1,200,Y,solar not priority,N/A
Shessy PV and BESS,D,Derrybrien,battery,TSO,due to connected,ECP-GSS1,40,N,battery,*
Shessy PV and BESS,D,Derrybrien,solar,TSO,due to connected,ECP-GSS1,70,Y,solar not priority,N/A
Sillouge BESS,G,Navan,Battery,TSO,due to connected,ECP-GSS1,150,N,battery,*
South Galway Solar,B,Cashla,solar,TSO,due to connected,ECP-GSS1,101,Y,solar not priority,N/A
Swordlestown Solar and Battery,J,Dunstown,battery,TSO,due to connected,ECP-GSS1,200,N,battery,*
Swordlestown Solar and Battery,J,Dunstown,solar,TSO,due to connected,ECP-GSS1,250,Y,solar not priority,N/A
Tibbotstown Solar (Lysaghtstown 3),I,Lysaghtstown,solar,TSO,due to connected,ECP-GSS1,74,Y,solar not priority,N/A
Tullacondra Windfarm,E,Mallow,wind,DSO,due to connected,ECP-GSS1,40.5,Y,wind not priority,N/A
Western Brand South Site,B,Dalton,solar,DSO,due to connected,ECP-GSS1,3,Y,solar not priority,N/A
Whitestown PV,J,Stephenstown,solar,DSO,due to connected,ECP-GSS1,9.99,Y,solar not priority,N/A
